name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
OWN,“Powerful Moment” George Bush Shared with Father in the White House | The Oprah Winfrey Show | OWN,6308,221,20,0,29
OWN,Shea Confronts Michael About His Behavior at the Mixer | Ready to Love | Oprah Winfrey Network,21787,251,11,0,234
OWN,Michael and Tiffany Bond over Their Rough Childhoods | Ready to Love | Oprah Winfrey Network,19204,296,4,0,123
OWN,Nephew Tommy's Heartfelt Relationship Advice | Ready to Love | Oprah Winfrey Network,12364,521,3,0,137
OWN,Courtney Ends Her Journey | Ready to Love | Oprah Winfrey Network,23631,499,10,0,407
OWN,Michelle on Being in Destiny's Child: “I Jumped onto a Moving Train” | Chad Loves Michelle | OWN,11683,250,9,0,23
OWN,Is Chad Backpedaling After Saying He Wants to Get Married? | Chad Loves Michelle | OWN,26610,492,40,0,567
OWN,"Michelle to Chad: ""You've Been Celibate Too Long"" | Chad Loves Michelle | Oprah Winfrey Network",7785,162,4,0,59
OWN,Chad Adds His Special Touch to Michelle's Apartment | Chad Loves Michelle | Oprah Winfrey Network,18260,270,8,0,61
OWN,Michelle Steps Up Her Self-Care Efforts | Chad Loves Michelle | Oprah Winfrey Network,6747,95,8,0,51
OWN,Chad and Michelle Freeze When It Comes to Setting a Wedding Date | Chad Loves Michelle | OWN,9601,151,8,0,88
OWN,Oprah Turns a Meditation Session Into A Huge OFT Surprise | Oprah’s Favorite Things | OWN,299,5,1,0,1
OWN,Oprah Pranks an Audience And Surprises Them with Her Favorite Things | Oprah’s Favorite Things | OWN,1458,33,0,0,10
OWN,Oprah Surprises Teachers with Favorite Things | Oprah’s Favorite Things | Oprah Winfrey Network,657,9,1,0,0
OWN,"The Woman Who Had a Meltdown During ""Oprah's Favorite Things"" | Oprah’s Favorite Things | OWN",8788,149,2,0,23
OWN,First Look: Is Chad Getting Cold Feet? | Chad Loves Michelle | Oprah Winfrey Network,12084,180,14,0,64
OWN,The Most Expensive Favorite Thing Oprah Ever Gave Away | Oprah’s Favorite Things | OWN,6759,285,8,0,45
OWN,Aaron Puts His Foot in His Mouth During a Group Date | Ready to Love | Oprah Winfrey Network,46125,705,17,0,810
OWN,Tiffany Realizes How Close Alexx and Ashlee Are | Ready to Love | Oprah Winfrey Network,38908,414,8,0,339
OWN,Oprah's In-Prison Interview with the Pastor Who Killed His Wife | The Oprah Winfrey Show | OWN,6713,62,3,0,43
OWN,Aaron Gets Cold Feet During Elimination Time | Ready to Love | Oprah Winfrey Network,18899,267,31,0,281
