name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
التمساح,التمساح الحلقة الأخيرية الوداعية | Temsa7LY,1145701,72342,8988,0,10713
التمساح,التمساح الحلقة ١٢٥: الميامية السبشلية | Temsa7LY,854722,46709,5102,0,3059
التمساح,التمساح الحلقة ١٢٤: العبودبادية المفاجئية  | Temsa7LY,1559731,72610,8785,0,3594
التمساح,التمساح الحلقة ١٢٣: الداندنية العبودبادية  | Temsa7LY,1840619,124798,7243,0,6371
التمساح,التمساح الحلقة ١٢٢ : الياخراشية العايضية  | Temsa7LY,1031849,57168,4775,0,2519
التمساح,التمساح الحلقة ١٢١ : الكبتنية الحيوانية  | Temsa7LY,871595,49038,5853,0,2372
التمساح,التمساح الحلقة ١٢٠: الاجازية المكالمية | Temsa7LY,887553,47859,7409,0,2350
التمساح,التمساح الحلقة ١١٩: الولّية القادحية | Temsa7LY,1081302,60237,7794,0,3033
التمساح,التمساح الحلقة ١١٨  : الهلالية النصراوية  | Temsa7LY,751845,30926,14564,0,4285
التمساح,التمساح الحلقة ١١٧: الحليمية الدكتورية | Temsa7LY,1234209,59249,6526,0,3530
التمساح,التمساح الحلقة ١١٦: الترمبية المعركية | Temsa7LY,1414269,67136,7447,0,4243
التمساح,التمساح الحلقة ١١٥: المقابلة الجو رعدية | Temsa7LY,1305217,56559,13584,0,5381
التمساح,التمساح الحلقة ١١٤ : العيدية الليلية | Temsa7LY,1175681,63187,13337,0,5037
التمساح,التمساح الحلقة ١١٣ : المهرجانية القطرية جزء ٢ | Temsa7LY,745768,36373,4903,0,2255
التمساح,التمساح الحلقة ١١٢ : المهرجانية القطرية جزء ١ | Temsa7LY,1197624,58019,7396,0,5026
التمساح,التمساح الحلقة ١١١: الصيفية الطفشانية | Temsa7LY,2441677,97166,10728,0,8559
التمساح,التمساح الحلقة ١١٠: الوشعندكيه البوكيمونيه | Temsa7LY,1744061,85356,7526,0,7232
