name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Söz Dizi,Söz | 62.Bölüm - Fragman 2,1878279,35695,607,0,3063
Söz Dizi,Söz | 61.Bölüm - Sen De Gitme!,148070,2228,39,0,286
Söz Dizi,Söz | 61.Bölüm - Kopuk Koptu Geliyor!,338683,4695,159,0,514
Söz Dizi,Söz | 61.Bölüm - Kasap Dragan Ratkoviç!,58876,1196,39,0,146
Söz Dizi,Söz | 61.Bölüm - Dragan'ın Hediyesi!,39616,1078,38,0,252
Söz Dizi,Söz | 61.Bölüm - Biz Türk Hava Kuvvetleriyiz!,597740,11181,271,0,767
Söz Dizi,Söz | 61.Bölüm - Beni Mi Merak Ettin?,59291,1552,34,0,190
Söz Dizi,Söz | 61.Bölüm - Bayrağa Sözüm Var!,67424,2339,28,0,261
Söz Dizi,"Söz | 61.Bölüm - ""Bak Bana"" Sena Şener",162576,2961,75,0,297
Söz Dizi,"Söz | 61.Bölüm - ""Asker Yolu Beklerim""",92398,2230,39,0,281
Söz Dizi,Söz | 62.Bölüm - Fragman 1,2550433,35508,1021,0,5338
Söz Dizi,Söz | 61.Bölüm,3446265,36331,2211,0,4532
Söz Dizi,Söz | 61.Bölüm - Fragman 2,1148583,19987,382,0,3081
Söz Dizi,Söz | 61.Bölüm - Fragman 1,2270832,39732,1010,0,5553
Söz Dizi,Söz | 60.Bölüm - Dragan'ın İntikamı!,100881,1676,77,0,281
Söz Dizi,Söz | 60.Bölüm -  Yavuz'a Suikast!,291897,3445,157,0,532
Söz Dizi,Söz | 60.Bölüm - Tim'in İlginç Cezası!,677195,6354,267,0,249
Söz Dizi,Söz | 60.Bölüm - Yavuz'dan Hoşlanıyor Musun?,240501,2814,127,0,320
Söz Dizi,Söz | 60.Bölüm - Ateş ve Nazlı Yüzük Bakıyor!,350798,4146,96,0,255
Söz Dizi,Söz | 60.Bölüm -  Aşık Olunacak Adamım!,408427,5255,157,0,576
Söz Dizi,Söz | 60.Bölüm - Yavuz Derya'yı Kurtarıyor!,859742,7018,367,0,814
Söz Dizi,Söz | 60.Bölüm - Tek Başına Değil!,2314616,25420,1386,0,2091
Söz Dizi,Söz | 60.Bölüm - Küçük Bir Arbede!,58835,1110,23,0,116
Söz Dizi,Söz | 60.Bölüm - Dragan'ın Kardeşi Ölüyor!,74188,1314,43,0,196
Söz Dizi,Söz | 60.Bölüm - Baba Olacağım!,214966,2937,66,0,251
Söz Dizi,Söz | 60.Bölüm,4090327,39083,3152,0,6319
Söz Dizi,Söz | 60.Bölüm - Ön İzleme 2,889184,18329,276,0,936
Söz Dizi,Söz | 60.Bölüm - Fragman 2,1462250,24416,598,0,4302
Söz Dizi,Söz | 60.Bölüm - Fragman 1,1723401,24830,556,0,1997
Söz Dizi,Söz | 59.Bölüm - Yiğido Ve Efe!,392669,5102,144,0,319
Söz Dizi,Söz | 59.Bölüm -Dragan'ın Zaafı!,223832,2540,79,0,197
Söz Dizi,Söz | 59.Bölüm - Bir Daha Silahını Kaptırma!,126900,2169,46,0,160
Söz Dizi,Söz | 59.Bölüm - Konuşacaksın!,241482,2513,79,0,216
Söz Dizi,Söz | 59.Bölüm - Dragan'ın Mekanına Baskın!,151117,1477,84,0,224
Söz Dizi,Söz | 59.Bölüm - Burası Sami'nin Sofrası,51421,999,46,0,120
Söz Dizi,Söz | 59.Bölüm - Sana Aşık Oldum!,1069503,8224,549,0,705
Söz Dizi,Söz | 59.Bölüm - Eylem Hamile!,178301,2764,62,0,517
Söz Dizi,"Söz | 59.Bölüm - Ben Yavuz, Mekanın Sahibiyim!",1087955,9110,408,0,528
Söz Dizi,Söz | 59.Bölüm - Aklımdan Çıkmıyorsun Melisa!,630433,6121,239,0,374
Söz Dizi,Söz | 59.Bölüm,4071376,35410,3172,0,4423
Söz Dizi,Söz | 60.Bölüm - Ön İzleme 1,1506996,21194,479,0,1024
Söz Dizi,Söz | 59.Bölüm - Ön İzleme 2,706158,14439,456,0,1347
Söz Dizi,Söz | 59.Bölüm - Ön İzleme 1,1023604,31552,521,0,2312
Söz Dizi,Söz | 59.Bölüm - Fragman 1,3156721,35506,1946,0,6173
Söz Dizi,Söz | 58.Bölüm - Keşanlı'nın Aşk Acısı!,125295,2395,48,0,179
Söz Dizi,Söz | 58.Bölüm - Bir Katilin Kalbi Olamaz!,92935,1355,37,0,107
Söz Dizi,Söz | 58.Bölüm - Bu Kalp Senin Oyuncağın Değil!,304401,3309,115,0,330
Söz Dizi,Söz | 58.Bölüm - Ben Asla Pes Etmem!,184168,2580,76,0,215
Söz Dizi,Söz | 58.Bölüm - Dragan'ı İstiyorum!,221896,2701,91,0,195
Söz Dizi,Söz | 58.Bölüm - Biz Ne Zaman Evleniyoruz!,104673,1250,34,0,62
