name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Juana Martinez,Qué se siente volar en globo sobre una ciudad bajo tierra? ~ Juana Martínez,13235,2814,50,0,680
Juana Martinez,HAZLO AMARRADO ft MI NOVIO XTIIAN ZECH | NOS DIO MUCHISIMA RISA ~ Juana Martínez,69070,7549,174,0,789
Juana Martinez,Respondiendo a comentarios de mi video llorando ~ Juana Martínez,128236,12597,796,0,1908
Juana Martinez,No sé si seguir en YouTube ~ Juana Martínez,297249,26472,4136,0,6538
Juana Martinez,EL DRONE SE VUELVE LOCO Y SE NOS DAÑA EL CARRO ~ Juana Martínez,59425,6079,184,0,660
Juana Martinez,Hago lo que quiero #1- Prólogo ~ Juana Martínez,39202,4625,108,0,600
Juana Martinez,Nos perdemos en carretera - Es peligroso? ~ Juana Martínez,76369,6142,91,0,470
Juana Martinez,Viajar 10 días en pareja? Parte 1 - FT @XtiianZech ~ Juana Martínez,89200,8669,120,0,673
Juana Martinez,¿AMOR? | NOUS ~ Juana Martínez,484058,59419,1067,0,4131
Juana Martinez,Fui tres días a brasil y me cambiaron la vida ~ #Sense8 Juana Martínez,113246,8215,201,0,564
Juana Martinez,No puedes seguir ignorando esto | Bangladesh ~ Juana Martínez,176555,20664,202,0,1514
Juana Martinez,Prefiero tener 21 - Juana Martinez,236530,23069,361,0,2634
Juana Martinez,Lo que tanto estaban esperando - NOUS ~ Juana Martínez 2/8,207919,12865,160,0,779
Juana Martinez,Le caia mal a mi Novio - Boyfriend Tag Ft @XtiianZech ~ Juana Martínez,648572,43841,616,0,2944
Juana Martinez,Mejor amigo VS Mejor amiga ~  Juana Martínez,578803,39257,542,0,1349
Juana Martinez,Lo que pienso de YouTube en el 2018  ~ Juana Martínez,336216,40084,991,0,3518
Juana Martinez,Turquía - Demasiado por procesar ~ Juana Martínez,231523,38475,384,0,3462
Juana Martinez,QUE PASO? 15 AÑOS DE MI HERMANA ~  Juana Martínez,411448,24900,769,0,573
Juana Martinez,Reto Musical  #RETODIVO ~ Juana Martínez,337805,19289,579,0,568
Juana Martinez,México Unido ~ Juana Martínez,176145,16577,263,0,844
Juana Martinez,Juan Pablo Jaramillo Narra mi TUTORIAL DE MAQUILLAJE  ~ Juana Martínez,715456,44217,1349,0,1504
Juana Martinez,Por esto no he subido video en dos meses! ~ Juana Martínez,1049510,61662,2851,0,2003
Juana Martinez,LO MEJOR Y LO PEOR DE SER YOUTUBER? ~ Juana Martínez,358975,22358,897,0,2224
Juana Martinez,ME HE OPERADO? Confesando y Desmintiendo Chismes ~ Juana Martínez,907076,44891,2035,0,2841
Juana Martinez,Como terminar una relación FT Juan Pablo Jaramillo,522308,35026,451,0,1501
Juana Martinez,50 COSAS SOBRE MI ACTUALIZADAS! ~ Juana Martínez,602245,36856,941,0,2238
Juana Martinez,PREGUNTAS ~ QUE HERMANO SABE MÁS??,266667,15717,229,0,1080
Juana Martinez,COMPRANDO ÚTILES CON MI HERMANA,1183369,49312,1776,0,2855
Juana Martinez,~ INTENTARON VIOLARME EN PARIS ~ Juana Martinez,5893542,172761,21625,0,14526
Juana Martinez,HAUL ~ MOCHILA DE SUPERVIVENCIA!,190431,16495,416,0,747
Juana Martinez,Obligue a mi hermano a saltar en paracaídas!,286880,17165,400,0,534
Juana Martinez,"Contando historias de nuestra vida FT Julian, Juan y Mica!",2370328,86475,1555,0,3484
Juana Martinez,Amsterdam - Europa Parte 2,144541,9087,302,0,607
Juana Martinez,Tag Emocional,315886,16921,985,0,1158
Juana Martinez,BERLÍN - Europa Parte 1,185588,16209,364,0,992
Juana Martinez,Amo viajar,303644,15309,798,0,881
Juana Martinez,Most likely to  | Ft Carolina Jaramillo,286954,15822,663,0,548
Juana Martinez,"~ Los Ángeles, CA - Slow Motion - Juana Martinez",278552,18622,678,0,1190
Juana Martinez,Debería tenerle miedo al mundo?,271848,35307,620,0,2726
Juana Martinez,Roommate Tag | FT. Juan Pablo Jaramillo,1094791,59874,996,0,1922
Juana Martinez,"""Pierda tiempo"" con los YouTubers",614065,49464,6414,0,6479
Juana Martinez,Tengo un libro l #LaArmoniaDelCaos,281803,19988,873,0,1463
Juana Martinez,Trailer l La Armonia del Caos,217063,19001,661,0,851
Juana Martinez,Dibújamesta Ft Christian Acosta,406817,21632,438,0,902
Juana Martinez,Preguntas incomodas (No tan incomodas) #KatyYJuana,835987,34030,737,0,2832
Juana Martinez,#FashionWeekBerlín - Descubriendo el mundo,236098,16495,633,0,669
Juana Martinez,Empezar de cero | Feliz Año Nuevo!,549073,43051,825,0,2107
Juana Martinez,Siendo incultos Ft Juan Pablo y Ricardo Cifuentes,536854,50496,1717,0,1111
Juana Martinez,Fashion film l Color Ft Calle y Poche,364646,21420,1139,0,664
Juana Martinez,Colombianos Vs Argentinos| Ft Alejo igoa,1684794,58676,1403,0,4370
