name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
تكسلر | Txlir,"اللي يركب هذا الحصان بدون سرج ويركض وما يطيح له 5,000 الاف ريال !!",214152,16805,574,0,684
تكسلر | Txlir,اخوياي فاجأوني باغلى واضخم كلب في العالم !! انصدمت,404147,27482,1279,0,5248
تكسلر | Txlir,ردة فعل كلبتي لوسي يوم شافت روكي بعد فترة غياب طويلة !!,266986,27696,942,0,3296
تكسلر | Txlir,اخيرا حصلت كلبي روكي وهنا كانت الصدمة !!,865183,38368,4746,0,3825
تكسلر | Txlir,البحث عن كلبي روكي بمساعدة ديفا؟ وايش صار له بضبط !!,427555,39302,2305,0,3953
تكسلر | Txlir,قررت اشتري اذكى ببغاء في العالم !! تتوقعون بكم سعره,537258,31769,1444,0,2557
تكسلر | Txlir,اخيرا شريت اجمل كلب اللي راح يعوضني بمكان روكي !!,883459,52383,2068,0,4287
تكسلر | Txlir,فاجأت ابوي باغلى شي عندي !! شوفوا ردة فعله,366555,38733,1331,0,2220
تكسلر | Txlir,زوجت كلبتي لوسي كلب جديد !! شوفوا ايش صار😻🔥,485892,44723,1898,0,8294
تكسلر | Txlir,"أبوي اشترى لي حصان هدية بقيمة 20,000 الف ريال !! لايفوتكم",899267,112346,8216,0,9830
تكسلر | Txlir,"حصلت كلبي روكي معروض للبيع في موقع بـ10,000 الاف ريال !!💔",801525,46366,4698,0,4314
تكسلر | Txlir,شخص يسرق كلبي روكي !! 💔😢,372470,32686,2054,0,4579
تكسلر | Txlir,اخطر حالة انقاذ قطة كانت بتموت في المجاري !!,372048,33170,1090,0,2308
تكسلر | Txlir,وش يصير لو دخلت اشرس كلب على 100 قطوة !! ماتوقعت,476448,39760,1819,0,4063
تكسلر | Txlir,ردة فعل روكي ولوسي اذا غرقت عيالهم في مسبح عميق !!,694323,61435,1808,0,3911
تكسلر | Txlir,ايش يصير لو حبست نفسي مع 20 كلب يوم كامل !! ماتوقعت,1163055,70426,2830,0,8719
تكسلر | Txlir,اشتري اي حيوان ابيه لمدة 30 ثانية !! شوفوا ايش شريت,905795,71456,2524,0,17591
تكسلر | Txlir,شريت أغلى وأضخم كلب بالعالم ولكن صار شي !!,1260279,110164,4625,0,20031
تكسلر | Txlir,ردة فعل كلبتي لوسي بعد موت بنتها !! انصدمنا,1526338,103023,9149,0,8370
تكسلر | Txlir,موت بنت كلبتي لوسي والسبب !! شوفوا كيف,1965479,135280,5709,0,18411
تكسلر | Txlir,اغرب حالة أنقاذ كلب مسعور بعد ما كان بيقطعون راسه !!,1738503,89210,3426,0,7328
تكسلر | Txlir,مقلب في تكسلر موت اثنين من عيال  لوسي !!💔😢,1117497,129485,4217,0,6033
تكسلر | Txlir,ردة فعل عيال لوسي يوم دخلت عليهم اذكى كلب !! انصدمت,593183,36125,2245,0,3628
تكسلر | Txlir,كلاب يهجمون على عيال كلبتي لوسي !! خطا مني,823066,54709,3518,0,14394
تكسلر | Txlir,مقلب في اذكى كلب غرقت صاحبه في المسبح قدامه !!,1156943,69592,2456,0,4089
تكسلر | Txlir,مقلب شخص مجهول يسرق عيال لوسي !! هجمت عليه,881564,65266,2919,0,8001
تكسلر | Txlir,كلبي روكي هجم على صديقه القديم بسبب !!,1040202,79924,2710,0,6864
تكسلر | Txlir,اخيرا حصلت كلبتي لوسي وهنا كانت الصدمة !!💔,2139818,117755,6071,0,9001
تكسلر | Txlir,هروب كلبتي لوسي وتركت عيالها معي💔😢,1373602,78965,3336,0,13683
تكسلر | Txlir,ردة فعل روكي يوم شاف عياله لأول مرة في حياته !!,1365385,88990,2974,0,10244
تكسلر | Txlir,مقلب سرقنا عيال لوسي قدامها !! هجمت علينا💔😢,1655477,104770,4910,0,6028
تكسلر | Txlir,اصعب حالة انقاذ مرت في حياتي !! قطة المجاري💔😢,3617886,134789,6055,0,9856
تكسلر | Txlir,اخيرا كلبتي لوسي جابت عيال !! شوفوا كم جابت 😻🔥,1529009,130259,5358,0,12523
تكسلر | Txlir,أذكى كلب يتوقع نتيجة مبارة السعودية وروسيا في كاس العالم !!,1248014,70763,6552,0,8483
تكسلر | Txlir,ردة فعل كلبي روكي يوم جبت له خروف !! هجم عليه💔😱,1031156,76647,2167,0,5479
تكسلر | Txlir,الكلبة المشلولة ماتت بسبب !! شوفوا كيف 💔😢,1470557,91166,3717,0,7758
تكسلر | Txlir,قررنا نعطي اكل لاكثر من 100 قطة وكلب بالشارع !!😻❤️,807235,67235,1158,0,5379
تكسلر | Txlir,محاولة أنقاذ كلبة من الموت بعد اطلاق النار عليها !!💔😢,728381,59529,1320,0,5147
تكسلر | Txlir,الكلاب اللي انقذناهم من الموت شوفوا كيف صارو بعد موت امهم !!,1220639,77636,2643,0,14370
تكسلر | Txlir,شخص يسرق كلاب صغار من امهم ويرميهم عند مزرعتنا !! والسبب,1549386,90285,2586,0,6682
تكسلر | Txlir,انقذنا كلبة مشلولة من الموت مع عيالها بعد حادث قوي !!💔😢,2454358,111641,3662,0,11691
تكسلر | Txlir,ليه م صرت اصور مع روكي مقاطع كثيرة بعد مقلب اخوياي فيني !! 💔😢,944513,74223,3487,0,3935
تكسلر | Txlir,اخيرا كلبتي لوسي جابت عيال !!😻🔥,1345425,108874,10767,0,35067
تكسلر | Txlir,شريت اغراض رمضان بمساعدة !! وطردوني بسبب💔😢,1106902,72162,3181,0,4248
تكسلر | Txlir,صعدنا اعلى قمة جبل مع اذكى كلب وتوهقنا بسبب !! 💔😱,1359573,49436,2775,0,3418
تكسلر | Txlir,"اخوياي باعوا كلبي روكي بـ 20,000 الف ريال بدون مادري !!💔😢",1905366,135353,6729,0,11189
تكسلر | Txlir,مقلب خليت روكي وأذكى كلب في الصحراء لحالهم ومشيت !! ماتوقعت,1102479,63278,3189,0,13633
تكسلر | Txlir,"اللي يدخل هذا المكان ويجلس فيه اكثر من ساعة ويطلع له 20,000 الف ريال !!",559154,33829,1204,0,6403
تكسلر | Txlir,"حصلت 10,000 الاف ريال بمساعدة كلبي روكي في مكان غريب !!😻🔥",596470,46783,1826,0,2551
تكسلر | Txlir,"اللي يطلع من المسبح وهم مربطين وبدون مايشوفون له 10,000 ريال !!",1586070,114442,4183,0,2232
