name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Nerdologia,O futuro do seu emprego | Nerdologia Tech,152417,22569,197,0,919
Nerdologia,Martin Luther King e Malcolm X | Nerdologia,182842,30714,121,0,1908
Nerdologia,Seria possível cavar até o centro da Terra? | Nerdologia,354324,47562,399,0,5702
Nerdologia,Nazistas e a resistência holandesa | Nerdologia,145823,19556,126,0,1060
Nerdologia,A verdade sobre o Homem de Ferro | Nerdologia,260412,38559,850,0,1872
Nerdologia,Revoltas na Bahia | Nerdologia,82722,12149,63,0,705
Nerdologia,Quanto vale um Bitcoin? | Nerdologia,203391,25010,247,0,1200
Nerdologia,100 anos do fim da Primeira Guerra Mundial | Nerdologia,179150,25411,85,0,1107
Nerdologia,Como funciona o autotune | Nerdologia,217381,29904,148,0,766
Nerdologia,História das Moedas  | Nerdologia,162722,21614,91,0,929
Nerdologia,O Bug mais famoso dos jogos | Nerdologia Tech,301503,36799,312,0,558
Nerdologia,Existe diferença entre golpe e revolução? | Nerdologia,194249,30115,310,0,2333
Nerdologia,Como ser um astronauta | Nerdologia,236869,37836,105,0,836
Nerdologia,Guerra do Peloponeso | Nerdologia,163930,23231,96,0,652
Nerdologia,Por que perdemos o medo do perigo? | Nerdologia,279928,41196,571,0,1665
Nerdologia,Os monges guerreiros da História e os de RPG | Nerdologia,196783,28128,101,0,769
Nerdologia,A Revolução das Baterias | Nerdologia,255299,41699,129,0,1063
Nerdologia,História do voto no Brasil | Nerdologia,163082,21056,153,0,1574
Nerdologia,Efeitos especiais | Nerdologia Tech,179559,25112,89,0,663
Nerdologia,Por que tantas Startups na Califórnia? | Nerdologia,136203,17932,91,0,660
Nerdologia,A Biologia do Venom | Nerdologia,376101,52746,207,0,1142
Nerdologia,"Atila, o Huno | Nerdologia",191089,26006,97,0,770
Nerdologia,O passado perdido do Museu Nacional | Nerdologia,245229,45776,174,0,1661
Nerdologia,O nosso Museu Nacional | Nerdologia,207046,31599,128,0,1332
Nerdologia,Como podemos morar em Marte | Nerdologia,299080,39658,163,0,1667
Nerdologia,Lampião e o Cangaço | Nerdologia,179281,25507,153,0,1506
Nerdologia,Machine Learning: como ensinar uma máquina a aprender | Nerdologia Tech,206792,28904,114,0,659
Nerdologia,História no filme Cruzada | Nerdologia,136429,18925,104,0,819
Nerdologia,Como jogar bem Fortnite e outros Battle Royale | Nerdologia,284646,41821,552,0,1226
Nerdologia,Quem venceu os nazistas? | Nerdologia,260374,32644,261,0,1989
Nerdologia,O que aconteceria com quem viajasse no tempo? | Nerdologia,408188,57704,413,0,1510
Nerdologia,Revolta da Vacina | Nerdologia,172289,24027,125,0,1241
Nerdologia,Por que gostamos de música? | Nerdologia,350270,54471,284,0,2176
Nerdologia,História do Império Inca | Nerdologia,250787,27591,121,0,1172
Nerdologia,De quem os heróis nos protegem? | Nerdologia,266704,41943,524,0,3825
Nerdologia,A História segundo os quadrinhos | Nerdologia,172447,25021,132,0,662
Nerdologia,O que é ciência de dados | Nerdologia Tech,206543,30887,171,0,728
Nerdologia,A FEB e a Segunda Guerra Mundial | Nerdologia,183921,26957,121,0,1322
Nerdologia,O Deus da Máquina | Nerdologia,299293,42584,329,0,1404
Nerdologia,História do Rock | Nerdologia,204264,29299,165,0,1453
Nerdologia,Por que Saitama é o personagem mais forte | Nerdologia,512752,72250,993,0,7866
Nerdologia,História da Califórnia e a cultura CalMex | Nerdologia,132704,18306,109,0,840
Nerdologia,Como prever o futuro | Nerdologia,233977,34035,198,0,1234
Nerdologia,Centenário de Mandela | Nerdologia,137268,17515,533,0,1558
Nerdologia,Como o YouTube entrega este vídeo para você | Nerdologia Tech,186038,30458,161,0,690
Nerdologia,A queda de Constantinopla e o Império Bizantino | Nerdologia,187576,24189,83,0,1201
Nerdologia,Como aprender melhor e mais fácil | Nerdologia,423748,58099,324,0,1393
Nerdologia,Animais de guerra | Nerdologia,191899,25194,101,0,794
Nerdologia,Porque a história do Thanos não faz sentido | Nerdologia,441275,58426,1092,0,2011
Nerdologia,Copa do Mundo | Nerdologia,286592,32066,258,0,1027
