name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
The Voice India Kids,Shekinah Performs On Tum Jo Mil Gaye Ho | The Voice India Kids | Grand Finale,493420,3305,176,0,163
The Voice India Kids,Manashi Performs On Gori Tera Gaon Bada Pyara | The Voice India Kids | Grand Finale,703832,3395,236,0,143
The Voice India Kids,Manashi Performs On Chadh Gayo Papi Bichua | The Voice India Kids | Grand Finale,2044480,10111,924,0,402
The Voice India Kids,Guntaas Performs On Kala Chashma | The Voice India Kids | Grand Finale,732650,3067,256,0,103
The Voice India Kids,Fazil Performs On Hawan Karenge | The Voice India Kids | Grand Finale,2934499,13334,1058,0,248
The Voice India Kids,Guntaas Performs On Its The Time To Disco | The Voice India Kids | Episode 35,188404,1191,36,0,104
The Voice India Kids,Shekinah Mukhiya Performs On Neele Neele Ambar Par | Sneak Peek | TVIK - Season 2 - Grand Finale,183415,1332,164,0,23
The Voice India Kids,Shekinah Mukhiya Performs On Roop Tera Mastana | Sneak Peek | TVIK - Season 2 - Grand Finale,27598,130,20,0,7
The Voice India Kids,Shekinah Mukhiya Performs On Tum Jo Mil Gaye Ho | Sneak Peek | TVIK - Season 2 - Grand Finale,24072,117,11,0,5
The Voice India Kids,Coach Shaan Sings & Dances On Zingaat | Sneak Peek | TVIK - Season 2 - Grand Finale,43689,215,23,0,9
The Voice India Kids,Neelanjana Ray Performs On Soja Zara | Sneak Peek | TVIK - Season 2 - Grand Finale,61504,384,19,0,19
The Voice India Kids,Neelanjana Ray Performs On Deewani Mastani | Sneak Peek | TVIK - Season 2 - Grand Finale,510117,3800,676,0,92
The Voice India Kids,Guntaas & Coach Shaan Performs On It's The Time To Disco | Sneak Peek | Season 2 - Grand Finale,52617,208,38,0,13
The Voice India Kids,Shekinah Mukhiya Performs With Shilpa Rao On Meherbaan | Sneak Peek | Season 2 - Grand Finale,25521,139,10,0,8
The Voice India Kids,Neelanjana Ray Performs With Divya Kumar On Sun Saathiya | Sneak Peek | Season 2 - Grand Finale,66364,439,25,0,19
The Voice India Kids,Neelanjana's Dad Shows His Acting Talent | Moments | The Voice India Kids - Season 2,34175,279,7,0,10
The Voice India Kids,Guru Randhawa & Coach Himesh Sings Aashiqui Mein Teri | Moment | The Voice India Kids - Grand Finale,4976478,31150,1313,0,956
The Voice India Kids,Guntaas and Shipla Rao Performs On Bulleya | Sneak Peek | The Voice India Kids - Season 2,21706,145,22,0,6
The Voice India Kids,Coach Himesh Tries To Pull Fazil's Leg | Moment | The Voice India Kids - Season 2,2528565,11469,734,0,113
The Voice India Kids,Guntaas and Shipla Rao Performs On Bulleya | The Voice India Kids | Episode 34,1190759,7504,413,0,318
The Voice India Kids,Shekinah Mukhiya And Shilpa Rao Performs On Meherbaan | The Voice India Kids | Episode 34,2503751,20954,794,0,752
The Voice India Kids,Neelanjana Ray and Divya Kumar Performs On Sun Saathiya | The Voice India Kids | Episode 34,4859783,43535,1503,0,2056
The Voice India Kids,Manashi Sahariah and Akriti Kakkar Performs On Chura Liya Hai | The Voice India Kids | Episode 34,3780800,27723,1056,0,889
The Voice India Kids,Fazil Performs On Main Nikla Gaddi Leke | The Voice India Kids | Episode 33,17760760,166056,6073,0,5658
The Voice India Kids,Neelanjana Ray Performs On Samjhawan | The Voice India Kids | Episode 33,1266561,10211,427,0,550
The Voice India Kids,Shruti Goswami Performs On Holiya Mein Ude Re Gulal | The Voice India Kids | Episode 32,1006415,6916,366,0,357
The Voice India Kids,Neelanjana Ray Performs On Holi Aayi Re Kanhai | The Voice India Kids | Episode 32,548088,3665,229,0,223
The Voice India Kids,Manashi Sahariah Performs On Are Ja Re Hat Natkhat | The Voice India Kids | Episode 32,1330072,7705,418,0,310
The Voice India Kids,Mohd. Fazil Performs On Rang Barse | The Voice India Kids | Episode 32,10734626,65953,2814,0,2912
The Voice India Kids,Shruti Goswami Performs On Muqabala Muqabala | The Voice India Kids | Episode 30,1036344,7751,407,0,476
The Voice India Kids,Bhanu Pratap Singh Performs On Aye Ajnabi | The Voice India Kids | Episode 30,123775,1122,44,0,70
The Voice India Kids,Tannishtha Puri Performs On Tum Mile Dil Khile | The Voice India Kids | Episode 30,617428,6099,256,0,417
The Voice India Kids,Fazil Performs On Pardesi Pardesi | The Voice India Kids | Episode 30,29944035,241997,9816,0,12050
The Voice India Kids,Shekinah Mukhiya Performs On Pehla Nasha | The Voice India Kids | Episode 29,2020911,20475,628,0,916
The Voice India Kids,Niharika Nath Performs On Waada Raha Sanam | The Voice India Kids | Episode 29,481142,4887,147,0,498
The Voice India Kids,Manashi Sahariah Performs On Bambai Se Gayi Poona | The Voice India Kids | Episode 29,1794314,10284,644,0,385
The Voice India Kids,Guntaas Performs On Bahut Pyaar Karte Hain Tumko Sanam | The Voice India Kids | Episode 29,450996,4645,163,0,300
The Voice India Kids,Sneha Shankar Performs On Teri Umeed Tera Intezar | The Voice India Kids | Episode 29,1839818,13693,738,0,922
The Voice India Kids,Shruti Goswami Performs on Aaiya Meharbaan | The Voice India Kids | Episode 28,749269,4512,246,0,262
The Voice India Kids,Bhanu Pratap Singh Performs on Baar Baar Dekho | The Voice India Kids | Episode 28,56254,396,27,0,18
The Voice India Kids,Neelanjana Ray Performs on Aaja Re Pardesi Main | The Voice India Kids | Episode 28,577674,4287,202,0,246
The Voice India Kids,Fazil Performs on Chalat Musafir | The Voice India Kids | Episode 28,4662238,24419,1078,0,781
The Voice India Kids,Shekinah Mukhiya Performs on Eena Meena Deeka | The Voice India Kids | Episode 28,593850,5209,169,0,255
The Voice India Kids,Tannishtha Puri Performs on Ek Ladki Bhigi Bhagi Si | The Voice India Kids | Episode 27,130514,1213,51,0,51
The Voice India Kids,Niharika Nath Performs on O Sajna Barkha | The Voice India Kids | Episode 27,345786,3018,119,0,205
The Voice India Kids,Sneha Shankar Performs on Lag Jaa Gale | The Voice India Kids | Episode 27,304573,3574,147,0,207
The Voice India Kids,Manashi Sahariah Performs on Saiyan Dil Mein Aana Re | The Voice India Kids | Episode 27,662525,4492,195,0,137
The Voice India Kids,Guntaas Performs on Aao Twist Karein | The Voice India Kids | Episode 27,186586,1584,76,0,136
The Voice India Kids,Coach Papon's Crazy Dance on Aaja Aaja | Moment | The Voice India Kids - Season 2,275743,1514,75,0,23
The Voice India Kids,Manashi's Mom & Dad Dance on Yeh Chand Sa Roshan Chehra | Moment | The Voice India Kids - Season 2,18262,114,4,0,3
