name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
VideoYoum7 | قناة اليوم…,طارق شوقى: تطوير التعليم بدأ من رياض الأطفال والصف الأول الابتدائى,112,6,0,0,2
VideoYoum7 | قناة اليوم…,وكيل أوقاف كفر الشيخ مهنئا الأنبا ماركس: نحن شركاء فى الهموم والآمال,126,11,0,0,2
VideoYoum7 | قناة اليوم…,بطل العالم فى القوة البدنية.. مصري بدأ مشواره من بنى سويف,276,17,0,0,1
VideoYoum7 | قناة اليوم…,"معرض القاهرة الدولى للكتاب بـ ""لوك"" جديد فى اليوبيل الذهبي",601,4,4,0,2
VideoYoum7 | قناة اليوم…,الخطيب يصل القاهرة بعد انتهاء فترة علاجه بألمانيا ووزير الشباب فى استقباله,18244,131,4,0,42
VideoYoum7 | قناة اليوم…,حصاد اليوم الأحد 2 ديسمبر 2018.. أهم الأخبار من دوت مصر,109,3,0,0,1
VideoYoum7 | قناة اليوم…,"قصة تحرير ""طفل 6 أكتوبر"" وتعليق الجدة على فدية المليون جنيه",133,10,0,0,3
VideoYoum7 | قناة اليوم…,وزيرة التضامن: نستهدف توعية مليون و 148 ألف سيدة بمشروع 2 كفاية,146,2,1,0,2
VideoYoum7 | قناة اليوم…,شاهد.. أحداث وزارة الشباب والرياضة اليوم الأحد,56,2,0,0,0
VideoYoum7 | قناة اليوم…,وزيرة الاستثمار من البرلمان: لا يوجد تضارب بين الوزارات,75,3,1,0,0
VideoYoum7 | قناة اليوم…,جهاز المشروعات يدعم مشروع تعبئة زيت الزيتون فى شمال سيناء,130,7,0,0,3
VideoYoum7 | قناة اليوم…,رئيس البنك الزراعى: منصة إلكترونية للسلع الغذائية قريبا,67,0,0,0,0
VideoYoum7 | قناة اليوم…,معيط:  تمييز المستثمر ضمن تعديلات الدولار الجمركى مهم,60,2,1,0,0
VideoYoum7 | قناة اليوم…,شمال سيناء تكشف عن عدد من تم فحصهم فى حملة 100 مليون صحة,89,2,0,0,0
VideoYoum7 | قناة اليوم…,معيط: وفود إنجليزية تزور مصر خلال أسبوعين لبحث الاستثمار,69,2,0,0,0
VideoYoum7 | قناة اليوم…,شاهد أكبر بابا نويل فى “الموسكى يرقص ويغنى وهذا سعره,270,4,0,0,0
VideoYoum7 | قناة اليوم…,سميح ساويرس: خدمة المجتمع المدنى واجب على رأس الجميع,149,5,0,0,1
VideoYoum7 | قناة اليوم…,معيط ضبط الضريبة ضرورة عشان الدولة تاخد حقها,70,4,1,0,0
VideoYoum7 | قناة اليوم…,وزير المالية يستعرض السلع المتأثرة برفع سعر الدولار الجمركى,857,2,1,0,1
VideoYoum7 | قناة اليوم…,الجنايات تؤجل محاكمة مرسى لـ26ديسمبر.. وتطلب مبارك للشهادة مرة ثانية,1793,15,5,0,4
VideoYoum7 | قناة اليوم…,تنفيذ 84 ‎%‎من الخطة الاستثمارية لمدينة نخل وسط سيناء,99,2,1,0,0
VideoYoum7 | قناة اليوم…,"الدكتور شادى على حسين ينضم إلى فريق ""دكتور اليوم السابع""",43,0,0,0,0
VideoYoum7 | قناة اليوم…,زينب الساعى أول ريفية تتولى إدارة جمعيتين زراعيتين,124,3,0,0,0
VideoYoum7 | قناة اليوم…,فريد الديب يكشف سبب غياب مبارك عن الحضور للشهادة بمحاكمة مرسى,2048,11,2,0,1
VideoYoum7 | قناة اليوم…,أشرف صبحى يشارك فى فعاليات ملتقى الشباب التثقيفى,46,0,0,0,0
VideoYoum7 | قناة اليوم…,وزير الرياضة يبحث مع اتحاد الكرة استضافة بطولة أفريقيا,121,1,0,0,0
VideoYoum7 | قناة اليوم…,"بدء جلسة شهادة ""مبارك"" فى محاكمة مرسى بـ""اقتحام الحدود""",5841,34,13,0,28
VideoYoum7 | قناة اليوم…,نانسى تحكى قصة نجاحها بعد دعم جهاز تنمية المشروعات,889,2,0,0,0
VideoYoum7 | قناة اليوم…,وزير التعليم العالى يكشف العدد المستهدف من الطلاب الوافدين,74,0,0,0,0
VideoYoum7 | قناة اليوم…,هجرة العقول والأثرياء والشباب من تركيا بسبب قمع أردوغان,103,2,4,0,3
VideoYoum7 | قناة اليوم…,كارثة تحيط بمحطة الكهرباء الرئيسية بالمعتمدية,212,3,0,0,0
VideoYoum7 | قناة اليوم…,شاهد محافظ الأقصر يخضع للفحص بمبادرة 100 مليون صحة,108,2,1,0,2
VideoYoum7 | قناة اليوم…,"أم جمعة... محاربة في الحياة بدرجة ""فنانة خشخانة""",293,2,0,0,2
VideoYoum7 | قناة اليوم…,مواطنو الأقصر يتوافدون على مبادرة 100 مليون صحة,110,3,0,0,1
VideoYoum7 | قناة اليوم…,هانى العقبى مديرا فنيا لنادى دمنهور,142,10,0,0,4
VideoYoum7 | قناة اليوم…,تعرف على الطقس اليوم الأحد ودرجات الحرارة المتوقعة,129,4,0,0,0
VideoYoum7 | قناة اليوم…,وزيرا التعليم والاستثمار يفتتحان المدرسة اليابانية بالعبور,104,1,1,0,0
VideoYoum7 | قناة اليوم…,إقبال كثيف من مواطنى الأقصر على مبادرة 100 مليون صحة,95,0,0,0,1
VideoYoum7 | قناة اليوم…,إقبال على تأمين صحى بنى سويف للفحص بمبادرة 100 مليون صحة,56,0,0,0,1
VideoYoum7 | قناة اليوم…,توافد كبير للأهالى على مستشفى الأقصر للفحص بمبادرة الرئيس,67,0,1,0,0
VideoYoum7 | قناة اليوم…,سفير طوكيو بالقاهرة: خبراء يابانيين فى مصر لتلبية احتياجاتها التعليمية,85,0,0,0,0
VideoYoum7 | قناة اليوم…,"جولة وزيرة الصحة ومميش ومحافظ الإسماعيلية على مراكز ""‏100‏ مليون صحة""",104,0,1,0,0
VideoYoum7 | قناة اليوم…,تنظيم ملتقى توظيفى شهريًا بالعاشر من رمضان,60,2,1,0,0
VideoYoum7 | قناة اليوم…,"عجوز بالأقصر عن ""100 مليون صحة"": 100 مليون سلام لـ""السيسى""",314,7,1,0,3
VideoYoum7 | قناة اليوم…,"معايشة ""دوت مصر"" للكشف عن فيروس سى",161,6,1,0,1
VideoYoum7 | قناة اليوم…,والدة فتاة التروسيكل: بنتى بمليون راجل وساعدت فى زواج أخواتها,381,7,0,0,1
VideoYoum7 | قناة اليوم…,انطلاق حملة 100 مليون صحة بشمال سيناء بماراثون رياضى,469,9,5,0,0
VideoYoum7 | قناة اليوم…,"بعد تكريمها من الرئيس.. أهالى الأقصر يحتفلون بـ""فتاة التروسيكل""",805,32,1,0,43
VideoYoum7 | قناة اليوم…,سيارة مصرية بـ50 ألف جنيه وتحمل 8 أفراد,6168,111,3,0,27
VideoYoum7 | قناة اليوم…,الدكش يكشف كواليس عودة الاهلى للانتصارات وما حدث بعد إلغاء هدف بتروجت,5121,150,3,0,57
