name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Got Talent España,¿Rock y flamenco fusionados? ¡Sí que se puede! | Inéditos | Got Talent España 2018,42287,1017,143,0,1
Got Talent España,¡Esta japonesa viene a cantar flamenco a nuestro jurado! | Inéditos | Got Talent España 2018,84800,1638,179,0,1
Got Talent España,¿Listo para gozar 'Thriller' de Michael Jackson tocada a piano? | Inéditos | Got Talent España 2018,73592,2063,132,0,9
Got Talent España,¡Vas a flipar con estos mejores amigos bailando techno! | Inéditos | Got Talent España 2018,215290,5428,278,0,4
Got Talent España,Los nervios de esta mago evitan que conquiste con su magia | Inéditos | Got Talent España 2018,208867,6156,177,0,3
Got Talent España,¿Se puede fusionar ejercicio con baile? Él demuestra que sí | Inéditos | Got Talent España 2018,81400,2185,93,0,0
Got Talent España,Este gaditano demuestra que es capaz de mover el esqueleto | Inéditos | Got Talent España 2018,81411,2057,147,0,0
Got Talent España,Este cantautor critica a las revistas del corazón | Inéditos | Got Talent España 2018,56361,1750,96,0,1
Got Talent España,Viene de Hong Kong a cantar a la chica que le rompió el corazón | Inéditos | Got Talent España 2018,117773,3795,118,0,16
Got Talent España,Tiene Síndrome de Down y un talento innato para el baile | Inéditos | Got Talent España 2018,155533,4268,154,0,20
Got Talent España,Un pañuelo es suficiente para que este mago brille | Inéditos | Got Talent España 2018,223278,3450,212,0,4
Got Talent España,Este colombiano demuestra que lo suyo son las pelotas | Inéditos | Got Talent España 2018,202416,3947,242,0,7
Got Talent España,Pablo Couto sorprende al jurado cantando una copla | Inéditos | Got Talent España 2018,152001,2714,158,0,3
Got Talent España,Conquista con su versión flamenca de 'Hoy tengo ganas de ti' | Inéditos | Got Talent España 2018,272096,4489,234,0,7
Got Talent España,Estas muñecas bailarinas vivientes asustan a nuestro jurado | Inéditos | Got Talent España 2018,257956,4962,494,0,7
Got Talent España,Sol Bboys arrasa desde Venezuela con su break dance | Inéditos | Got Talent España 2018,236108,4629,276,0,10
Got Talent España,Estos chicos vuelan dando piruetas en una cama elástica | Inéditos | Got Talent España 2018,183029,3330,207,0,6
Got Talent España,Este dúo canta la triste historia de una mujer transexual | Inéditos | Got Talent España 2018,171654,3858,260,0,11
Got Talent España,¡Viene de India para conectar con el público con su guitarra! | Inéditos | Got Talent España 2018,69460,1754,86,0,2
Got Talent España,La acróbata vaginal Sonia Baby calienta a nuestro jurado | Inéditos | Got Talent España 2018,2074157,15010,4657,0,53
Got Talent España,Mark brilla con su piano interpretando un tema de Bruno Mars | Inéditos | Got Talent España 2018,46769,1310,71,0,1
Got Talent España,Pedro ruega a Edurne su pase de oro tras destrozar una canción | Inéditos | Got Talent España 2018,79052,1827,200,0,18
Got Talent España,¡Vestuario futurista y muchísimo baile con Immunes! | Inéditos | Got Talent España 2018,135630,2679,191,0,1
Got Talent España,Un rap contra el bullying emociona a nuestro jurado | Inéditos | Got Talent España 2018,781671,24698,522,0,77
Got Talent España,¡El carnaval y el colorido llega con estos niños bailarines! | Inéditos | Got Talent España 2018,72850,1339,191,0,4
Got Talent España,¡Los chicos también hacen twerk! ¡Vaya movimientos de trasero! | Inéditos | Got Talent España 2018,3574909,33178,4890,0,38
Got Talent España,Su maravillosa voz es opacada por su extravagante vestuario | Inéditos | Got Talent España 2018,839902,11010,1699,0,47
Got Talent España,Una chica sorda baila con su equipo mientras siente la música | Inéditos | Got Talent España 2018,455329,8699,369,0,8
Got Talent España,Iván lucha para que más chicos hagan gimnasia rítmica | Inéditos | Got Talent España 2018,98538,2507,122,0,2
Got Talent España,Gorras y baile con este numeroso grupo de chicas | Inéditos | Got Talent España 2018,89061,2176,137,0,2
Got Talent España,La magia de este gallego está lejos de conquistar al jurado | Inéditos | Got Talent España 2018,649156,7079,1216,0,12
Got Talent España,Pablo enamora al jurado con 'Dancing On My Own' y su gitarra | Inéditos | Got Talent España 2018,93118,1647,228,0,4
Got Talent España,Michael Jackson es la inspiración de Samuel | Inéditos | Got Talent España 2018,153044,2520,335,0,1
Got Talent España,Canta ante un maestro de la copla: Jorge Javier Vázquez | Inéditos | Got Talent España 2018,181798,2565,141,0,1
Got Talent España,Esta joven se atreve a cantar un temazo de Alejandro Sanz | Inéditos | Got Talent España 2018,1855522,14306,990,0,5
Got Talent España,¿Acrobacias en monociclo? ¡Estos jóvenes se atreven con todo! | Inéditos | Got Talent España 2018,121030,1959,329,0,1
Got Talent España,Es capaz de tocar todos los éxitos del momento con su guitarra | Inéditos | Got Talent España 2018,6732589,41419,7514,0,248
Got Talent España,La sensualidad de Jessica Rabbit en una bailarina de pole dance | Inéditos | Got Talent España 2018,236757,3875,346,0,4
Got Talent España,¿Ganas de gozar bailando como si tu pueblo estuviera en fiesta? | Inéditos | Got Talent España 2018,126553,2358,257,0,54
Got Talent España,Torres humanas y juegos con fuego con The Buccaneers | Gran Final | Got Talent España 2018,125306,1839,149,0,37
Got Talent España,Las pequeñas Turroneras sacan todo su arte flamenco para ganar | Gran Final | Got Talent España 2018,108187,1441,86,0,4
Got Talent España,Dania Díaz se convierte en una niña con su magia | Gran Final | Got Talent España 2018,601231,7750,584,0,125
Got Talent España,Majesty Wolf bailan como lobos para ganar el gran premio | Gran Final | Got Talent España 2018,59272,729,72,0,1
