name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
StarPlus,Dance+ 4 | If moves could kill,211545,2870,58,0,95
StarPlus,Dance+ 4 | Ultimate Dance Battle,79877,1067,21,0,46
StarPlus,Nazar | Vedashree on Mohana ki Chaal,96464,1296,49,0,97
StarPlus,Nazar | Ansh on Mohana ki Chaal,185604,1881,73,0,151
StarPlus,Kullfi Kumarr Bajewala | Countdown has begun,67338,682,31,0,75
StarPlus,Nazar | Piya's Truth,41405,346,19,0,56
StarPlus,Nazar | Piya Ka Raaz,295925,1493,98,0,121
StarPlus,Dance+ 4 | Old is Gold,717449,12218,162,0,255
StarPlus,Dance+ 4 | Importance of education,382430,7820,79,0,120
StarPlus,Dance+ 4 | Goosebumps Act,292406,4388,112,0,89
StarPlus,Ishqbaaaz | Gauri's Journey,166093,3094,70,0,281
StarPlus,Kanpur Waale Khuranas | Priyanka Ki Shaadi,101096,1748,188,0,154
StarPlus,Kullfi Kumarr Bajewala | Maa,259160,2519,72,0,43
StarPlus,Qayamat Ki Raat | Rajs' Fury,151343,1286,57,0,24
StarPlus,Dance+ 4 | Tribute to Kapil Dev,894183,16937,279,0,357
StarPlus,Kasautii Zindagii Kay | Anurag’s Feelings,99467,1675,55,0,110
StarPlus,Yeh Rishta Kya Kehlata Hai | Dedicate a song,228015,3316,118,0,167
StarPlus,Karn Sangini | Karn's defense,117105,1659,65,0,124
StarPlus,The Voice | Sikander's Invite,21718,315,12,0,20
StarPlus,Dance+ 4 | Jaja & Bdash,915397,15119,313,0,225
StarPlus,Dance+ | Favourite Festival,128666,2424,57,0,60
StarPlus,The Voice | Lovely's Invite,88055,681,30,0,17
StarPlus,Dance+ 4 | Dance+4 As A Festival,119959,1798,32,0,26
StarPlus,Dance+ 4 |  Kapil Dev's On Dance+ 4,397476,5106,88,0,65
StarPlus,Yeh Rishta Kya Kehlata Hai | What's in store?,21986,478,14,0,37
StarPlus,Nazar | Daayan Ki Ulti Chaal,1651615,8272,1830,0,1602
StarPlus,Yeh Rishta Kya Kehlata Hai | Rishton Ka Utsav - Luv-Kush Invite,42457,803,21,0,36
StarPlus,Yeh Rishta Kya Kehlata Hai | Rishton Ka Utsav - Naksh's invite,21047,503,20,0,50
StarPlus,Kasautii Zindagii Kay | Prerna's Secret,139933,1308,59,0,79
StarPlus,Lux Golden Rose Awards 2018 | 9th December At 9.30 PM,115845,1431,42,0,42
StarPlus,"Yeh Rishta Kya Kehlata Hai | Excited, are you?",148491,1915,80,0,134
StarPlus,Yeh Rishta Kya Kehlata Hai | Rishton Ka Utsav preparation,78654,1549,46,0,93
StarPlus,Yeh Rishta Kya Kehlata Hai | Rishton Ka Utsav – Kartik’s invite,29287,860,27,0,65
StarPlus,Kasautii Zindagii Kay | Anurag Panics,131656,1797,49,0,94
StarPlus,Yeh Rishta Kya Kehlata Hai | Kartik Is Reluctant,636780,5089,307,0,227
StarPlus,Kanpur Waale Khuranas | Coming Soon,392185,5674,667,0,437
StarPlus,Yeh Rishta Kya Kehlata Hai | Rishton Ka Utsav Tonight,165382,2284,96,0,143
StarPlus,Yeh Rishta Kya Kehlata Hai | Invitation to Rishton Ka Utsav,44072,1240,28,0,103
StarPlus,Kullfi Kumarr Bajewala |  Kullfi's Frustration,161528,1060,47,0,21
StarPlus,Kasautii Zindagii Kay | Prerna's Dilemma,245308,3058,131,0,182
StarPlus,Lux Golden Rose Awards | Coming Soon,177616,3005,91,0,146
StarPlus,Mariam Khan - Reporting LIVE | Growing love,195403,1710,91,0,74
StarPlus,#KhulKeBaat | Raghav,94771,1631,46,0,37
StarPlus,Dance+ 4 | Let Love,117009,1824,59,0,43
StarPlus,#KhulKeBaat | Shakti,130883,1539,69,0,37
StarPlus,Ishqbaaaz | Memories & new beginnings,155415,1599,800,0,587
StarPlus,Dance+ 4 | Friendship Moves,701204,12922,198,0,172
StarPlus,#KhulKeBaat | Dharmesh,67750,1028,15,0,17
StarPlus,#KhulKeBaat | Punit,20560,612,10,0,30
StarPlus,Dance+ 4 | Team Punit,472460,5484,117,0,110
