name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Netflix,The Guernsey Literary and Potato Peel Pie Society | Juliet and Dawsey | Netflix,12517,623,32,0,58
Netflix,Chilling Adventures of Sabrina: Part 2 | Teaser [HD] | Netflix,535194,26131,448,0,2130
Netflix,Adam Sandler: 100% Fresh | Bar Mitzvah Boy Official Music Video [HD] | Netflix,11074,707,77,0,82
Netflix,Death by Magic | Clip: The Great Escape [HD] | Netflix,22269,466,203,0,108
Netflix,A Christmas Prince | Recap Video [HD] | Netflix,41455,1048,59,0,94
Netflix,Vir Das: Losing It | Official Trailer [HD] | Netflix,24082,1018,100,0,90
Netflix,Big Mouth: Turn Up (Music Video) | Netflix Is A Joke | Netflix,39547,1878,219,0,203
Netflix,Neo Yokio: Pink Christmas | Official Trailer [HD] | Netflix,32089,1374,265,0,295
Netflix,A Christmas Prince | Rose McIver: Wrapped Up with Netflix | Netflix,27226,706,30,0,67
Netflix,ReMastered: Who Killed Jam Master Jay?: Track 3 | Official Trailer [HD] | Netflix,20670,516,26,0,63
Netflix,Russell Brand: Re:Birth | Official Trailer [HD] | Netflix,39404,912,175,0,103
Netflix,Nailed It! Holiday! | Official Trailer [HD] | Netflix,34038,789,31,0,61
Netflix,Sharkey The Bounty Hunter | Teaser [HD] | Netflix,30181,512,59,0,38
Netflix,The Ranch: Part 6 | Official Trailer [HD] | Netflix,272297,2708,222,0,685
Netflix,Fuller House: Season 4 | Official Trailer [HD] | Netflix,895073,24771,1068,0,2839
Netflix,A Christmas Prince | Rose McIver Reacts to Fan Tweets | Netflix,32362,973,23,0,57
Netflix,Vanessa Hudgens: Wrapped Up with Netflix | The Princess Switch | Netflix,83430,2156,67,0,141
Netflix,Neon Genesis Evangelion | Official Trailer [HD] | Netflix,692024,37800,592,0,6140
Netflix,Rilakkuma and Kaoru | Official Trailer [HD] | Netflix,115176,4805,84,0,266
Netflix,Ultraman | Official Trailer [HD] | Netflix,1411550,27902,2011,0,4128
Netflix,Selection Day | Official Trailer [HD] | Netflix,104316,2088,117,0,212
Netflix,Happy as Lazarro | Official Trailer [HD] | Netflix,31976,593,45,0,86
Netflix,Tidelands | Featurette: What You Need to Know [HD] | Netflix,30786,628,49,0,49
Netflix,Chilling Adventures of Sabrina | Gavin Leatherwood Basting a Turkey [HD] | Netflix,81149,3001,187,0,447
Netflix,Memories of the Alhambra | Official Trailer [HD] | Netflix,639551,23877,481,0,1769
Netflix,Tidelands: Season 1 | Official Trailer [HD] | Netflix,112055,1204,125,0,131
Netflix,Perfume | Official Trailer [HD] | Netflix,242686,3772,152,0,307
Netflix,Springsteen on Broadway | Official Trailer [HD] | Netflix,228873,1890,48,0,166
Netflix,The Final Table | Come To Your Senses [HD] | Netflix,11039,155,18,0,30
Netflix,The Christmas Chronicles | Featurette: True Believers [HD] | Netflix,24407,595,14,0,71
Netflix,13 Stories with Ashton Kutcher & Elisha Cuthbert | The Ranch | Netflix,107812,1983,115,0,203
Netflix,Death by Magic | Official Trailer [HD] | Netflix,125499,2458,145,0,161
Netflix,Pine Gap: Season 1 | Official Trailer [HD] | Netflix,41086,767,84,0,89
Netflix,Bumping Mics with Jeff Ross & Dave Attell | Official Trailer [HD] | Netflix,31467,481,25,0,85
Netflix,Big Mouth: Season 3 | Announcement [HD] | Netflix,314427,14197,490,0,1555
Netflix,Nailed It: Turn Up (Music Video) | Netflix Is A Joke | Netflix,16011,442,29,0,33
Netflix,Dogs | Clip: Our Children | Netflix,37329,685,45,0,67
Netflix,Narcos: Mexico | A Message from Offset | Netflix,51249,1384,105,0,158
Netflix,Hasan Minhaj Has Some Fresh Ideas for Netflix Executives | Patriot Act | Netflix,76875,1422,91,0,118
Netflix,"Narcos: Mexico | Clip: ""Felix"" | Netflix",94882,1170,38,0,237
Netflix,New to Netflix US | December | Netflix,380207,6604,374,0,2042
Netflix,New to Netflix Canada | December | Netflix,44548,558,82,0,272
Netflix,New to Netflix Australia | December | Netflix,26444,529,47,0,139
Netflix,New to Netflix New Zealand | December | Netflix,1413,89,16,0,9
Netflix,Chilling Adventures of Sabrina Cast Show You How To Flirt | Charm Battle | Netflix,160655,9002,81,0,336
Netflix,Nicky Jam: El Ganador | Official Trailer [HD] | Netflix,133847,3352,225,0,361
Netflix,A Narration | Love Actually | Netflix,39071,670,169,0,86
Netflix,Adam Sandler: 100% Fresh | Sandler Quotes | Netflix,15965,445,64,0,41
Netflix,Frontier: Season 3 | Official Trailer [HD] | Netflix,97287,1247,25,0,152
Netflix,Narcos: Mexico | You Don’t Have To Watch Season 1-3 | Netflix,194943,4714,123,0,514
