name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Caso Cerrado,Lamiendo Las Heridas 👩🏼💔💏 | Caso Cerrado | Telemundo,359400,2183,508,0,714
Caso Cerrado,Bajo Sospecha Por Ingenuo 👦🏼👜👯| Caso Cerrado | Telemundo,330417,2408,301,0,315
Caso Cerrado,Cómplices siniestros👩🏻‍💻👩🏻‍💻👩🏻 | Caso Cerrado | Telemundo,433571,3113,379,0,567
Caso Cerrado,Jóvenes Sin Futuro👭💊🎉 | Caso Cerrado | Telemundo,247621,1772,255,0,146
Caso Cerrado,Espectáculo Violento 👬🕺🏻🐂 | Caso Cerrado | Telemundo,467366,2863,476,0,513
Caso Cerrado,Cliente sin control 🤤🥃👨🏿‍✈️ | Caso Cerrado | Telemundo,358191,2216,289,0,326
Caso Cerrado,El Hijo De La Mentira 👦🏽👩🏻👨🏻 | Caso Cerrado | Telemundo,1306691,8608,1368,0,1129
Caso Cerrado,Testigo Cómplice😷👩🏻👨🏻 | Caso Cerrado | Telemundo,982508,3959,543,0,427
Caso Cerrado,Amante Inesperado🐭👩🏻😡 | Caso Cerrado | Telemundo,837018,4468,650,0,664
Caso Cerrado,Desafiando La Verdad 👩🏻‍💻👭👭 | Caso Cerrado | Telemundo,482936,2678,392,0,267
Caso Cerrado,Infidelidad Vengada 👩🏻 🍕💏 | Caso Cerrado | Telemundo,532312,2594,356,0,182
Caso Cerrado,Manipulando A Sus Hijos 👨🏻‍💻💵👬 | Caso Cerrado | Telemundo,743383,4831,467,0,523
Caso Cerrado,Pastel Amargo 👰🎂😈 | Caso Cerrado | Telemundo,547088,2654,331,0,175
Caso Cerrado,Aquí está papá 😷👶👨 | Caso Cerrado | Telemundo,707309,3504,405,0,376
Caso Cerrado,Maldad Hecha Mujer 👨🏻😈👫 | Caso Cerrado | Telemundo,1236119,6041,778,0,422
Caso Cerrado,Obsesionada Con Su Violador 👩 🏘👨‍🎤 | Caso Cerrado | Telemundo,699832,5126,458,0,331
Caso Cerrado,Adolescente Sin Límites Ni Fronteras 🚶💊🔪 | Caso Cerrado | Telemundo,642435,3217,377,0,238
Caso Cerrado,Médico o Juez 👨👶 👩‍❤️‍💋‍👩 | Caso Cerrado | Telemundo,604519,4322,584,0,883
Caso Cerrado,Mi Vida Loca 🎤💆🏽👶 | Caso Cerrado | Telemundo,433387,2942,275,0,523
Caso Cerrado,Rivalidad entre primos 👱👩👱 | Caso Cerrado | Telemundo,430575,1962,262,0,157
Caso Cerrado,La estrella tiene celos 👨🎤👩 | Caso Cerrado | Telemundo,480746,2939,384,0,472
Caso Cerrado,Ámame Como Soy 👨🏾‍💼👩👦 | Caso Cerrado | Telemundo,1083160,5714,851,0,822
Caso Cerrado,Ganando dinero en nombre de Dios 🌍💵💙 | Caso Cerrado | Telemundo,470593,2657,303,0,444
Caso Cerrado,Despertando El Demonio Que Llevo Dentro 👿👩🏼👨🏻 | Caso Cerrado | Telemundo,439782,3421,363,0,337
