name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
Star Casablanca | نجوم…,بدر الفريج - مشتاك الشخص احبة (حصرياً) | 2018 | (Badr Al Freij - Mushtaq Alshakhs Ahba (Exclusive,14157,1456,118,0,1025
Star Casablanca | نجوم…,احمد اشبيلية - عروس (حصرياً) | 2018 | (Ahmad Ishbilia - 3arusa (Exclusive,103727,5763,593,0,1731
Star Casablanca | نجوم…,سيف عامر وامجد يعقوب - صار فترة (حصرياً) | 2018 | (Saif Amer & Amjad Yacoub - Sar Fatra (Exclusive,205673,10022,320,0,2020
Star Casablanca | نجوم…,سيف عامر - ثق بالله (حصرياً) | 2018 | (Saif Amer - Thaq Biallah (Exclusive,231575,13775,264,0,2181
Star Casablanca | نجوم…,احمد رعد واحمد الوليد - لا ما اريدك (حصرياً) | 2018 | (Ahmed Alwaleed & Ahmed Raad (Exclusive,53777,2679,229,0,1330
Star Casablanca | نجوم…,لقاء التريو مصطفى العبدالله ومحمود التركي وعلي جاسم على قناة DW عربية | 2018 |,155963,12377,290,0,2033
Star Casablanca | نجوم…,محمود التركي - عينك على قلبك (حصرياً) | 2018 | (Mahmoud Al Turky - Eaynak Ala Qalbik (Exclusive,1854256,79001,2039,0,10550
Star Casablanca | نجوم…,نعيم السلطان - يماي عيوني (حصرياً) | 2018 | (Naim AlSultan - Yamay Euyuni (Exclusive,42909,2259,322,0,1087
Star Casablanca | نجوم…,قيس هشام - رايح (حصرياً) | 2018 | (Qais Hisham - Rayeh (Exclusive,167551,7514,266,0,1488
Star Casablanca | نجوم…,خالد احمد - قبل متروح (حصرياً) | 2018 | (Khaled Ahmed - Qabl Matrwh (Exclusive,108717,2572,247,0,650
Star Casablanca | نجوم…,علي جاسم و مصطفى العبد الله  - هوى | 2018 | Ali Jassim ft Mustafa Alabdullah - Hawa,8676818,271417,11754,0,41910
Star Casablanca | نجوم…,شعيل عبدالله - غريبة شلون (حصرياً) | 2018 | (Shaheel Abdullah - Ghariba Shlwn (Exclusive,53680,2059,165,0,469
Star Casablanca | نجوم…,وسام المهندس - حياتي (حصرياً) | 2018 | (Wasam Almuhandis - Hayati (Exclusive,652650,18072,762,0,1973
Star Casablanca | نجوم…,زيد الراوي - احلى شي (حصرياً) | 2018 | (Zaid Al Rawi - Ahlaa Shy (Exclusive,73812,2377,316,0,587
Star Casablanca | نجوم…,سعود جاسم - المجنون (حصرياً) | 2018 | (Saud Jassim - Almajnun (Exclusive,77765,3214,252,0,679
Star Casablanca | نجوم…,حمزة الاصيل - اريدج حصريا (حصرياً) | 2018 | (Hamza Al Aseel - Arydaj Hasriaan (Exclusive,131993,4587,239,0,754
Star Casablanca | نجوم…,جوزيف باسم - بلوه (حصرياً) | 2018 | (Joseph Basim - Balwa (Exclusive,179142,7447,352,0,1070
Star Casablanca | نجوم…,خليل مصطفى - جيبوا حبيبي لي (حصرياً) | 2018 | (Khalil Mustafa - Jebo Habiby Le (Exclusive,517425,10507,734,0,1118
Star Casablanca | نجوم…,احمد شاكر - لحكتيني (حصرياً) | 2018 | (Ahmed Shakir - Lahktayni (Exclusive,72492,1724,224,0,648
Star Casablanca | نجوم…,احمد شاكر - اني بخير (حصرياً) | 2018 | (Ahmed Shakir - Aniy Bikhayr (Exclusive,65941,2313,271,0,907
Star Casablanca | نجوم…,علي الغالي - بصرتنا (حصرياً) | 2018 | (Ali Al Ghali - Basratuna (Exclusive,182100,10172,491,0,2326
Star Casablanca | نجوم…,علي الغالي - ابوس البخت (حصرياً) | 2018 | (Ali Al Ghali - Abus Al Bakht (Exclusive,772860,19066,1818,0,3130
Star Casablanca | نجوم…,فريد البابلي - شيصبرني (حصرياً) | 2018 | (Farid Albabli - Shesberni (Exclusive,157363,4643,271,0,1534
Star Casablanca | نجوم…,غفران فتوحي - مخبر سري (حصرياً) | 2018 | (Ghofrane Ftouhi - Mukhbir Siry (Exclusive,397359,9476,1488,0,1599
Star Casablanca | نجوم…,غفران فتوحي - ضاربة اغنية جديدة (حصرياً) | 2018 | Ghofrane Ftouhi - Dariba Aghnya Jadida,295727,6247,971,0,1434
Star Casablanca | نجوم…,ريان تركي - بيباي (حصرياً) | 2018 | (Ryan Turki - Bye Bye (Exclusive,552498,12905,1511,0,2837
Star Casablanca | نجوم…,نهاد حسن - غاص بهمومي (حصرياً) | 2018 | (Nihad Hassan - Ghas Bihimumi (Exclusive,378949,5874,877,0,1357
Star Casablanca | نجوم…,ايسر القاسم والشاعر وجدي - دخليك (حصرياً) | 2018 | (Ayser Alqasim & Wajdi (Exclusive,88590,3394,215,0,1150
Star Casablanca | نجوم…,خضير العزيز - تثبتلك الايام (حصرياً) | 2018 | (Khadir Aleaziz - Tathbitilk Alayam (Exclusive,63441,2486,168,0,929
Star Casablanca | نجوم…,اسامة ناجي - طالق بالثلاثه (حصرياً) | 2018 | (Osama Naji - Taliq Bialthalatha (Exclusive,601049,15651,792,0,3041
Star Casablanca | نجوم…,احمد الهاجري - ضيعوني (حصرياً) | 2018 | (Ahmed AlHajri - Daiauni (Exclusive,42412,1197,98,0,336
Star Casablanca | نجوم…,سيف كريم - احلى بشر (حصرياً) | 2018 | (Saif Karim - Ahlaa Bashar (Exclusive,81405,3282,232,0,1129
Star Casablanca | نجوم…,ساري العساف - صدكَوني (حصرياً) | 2018 | (Sari Al Assaf - Sadkuni (Exclusive,336756,10239,911,0,2034
Star Casablanca | نجوم…,رضا سلمان - نادم (حصرياً) | 2018 | (Reza Salman - Nadem (Exclusive,138874,3716,356,0,1056
Star Casablanca | نجوم…,حكمت جسار - هاي الدنيه تعبانة (حصرياً) | 2018 | Hikmat Jassar - Hay Alduniah Tabana,166730,3740,415,0,1218
Star Casablanca | نجوم…,عيسى احمد - العافية بجيتك (حصرياً) | 2018 | (Issa Ahmed - Alafia Bijaytak (Exclusive,80734,3200,229,0,1785
Star Casablanca | نجوم…,سيف عامر - شسوي (دوم دوم تاك) (حصرياً) | 2018 | (Saif Amer - Shasui (Dom Dom Tak) (Exclusive,11533730,144454,11069,0,20678
Star Casablanca | نجوم…,نادين عامر - سكر زياده (حصرياً) | 2018 | (Nadine Amer - sukar ziadah (Exclusive,73965,1977,316,0,1280
Star Casablanca | نجوم…,يمان - غاليتي (حصرياً) | 2018 | (Yaman - Galletti (Exclusive,64686,3134,208,0,1121
Star Casablanca | نجوم…,امير عبدالله - هي كلمة (حصرياً) | 2018 | (Amir Abdullah - Hi Kalima (Exclusive,54381,1669,276,0,1210
Star Casablanca | نجوم…,حسين الصايغ - بعد ما احتاجك (حصرياً) | 2018 | (Husain Alsaigh - B3d Ma A7tajak (Exclusive,79982,2880,185,0,990
Star Casablanca | نجوم…,علي الشاعري - اعشكة (حصرياً) | 2018 | (Ali Al Shaeri - Aeshka (Exclusive,411031,10086,1157,0,2149
Star Casablanca | نجوم…,نور الزين & ريان تركي - بس اسمعني (حصرياً) | 2018 | Nour Al Zain & Rayan Turki - Bas Aismani,656457,17233,1477,0,3873
Star Casablanca | نجوم…,حمزة جلال - ازمة وتروح (حصرياً) | 2018 | (Hamza Jalal - Azma Watrwh (Exclusive,477636,7968,743,0,1667
Star Casablanca | نجوم…,يوسف الراشد - المن تركني (حصرياً) | 2018 | (Yousef Alrashed Alman Tarakni (Exclusive,82995,3103,185,0,1538
Star Casablanca | نجوم…,حسين الامير وهاجر مطر - لايكلج (حصرياً) | 2018 | (Hussain Al-Amir & Hajar Matar - Layklaj (Exclusive,221948,5450,784,0,2208
Star Casablanca | نجوم…,فيصل عبدالكريم - تامر امر (حصرياً) | 2018 | (Faisal Abdul Karim - Tamer Amer (Exclusive,275100,5097,553,0,1230
Star Casablanca | نجوم…,علي الغالي - عايفها يمك (حصرياً) | 2018 | (Ali Al Ghali - 3ayfha Yamak (Exclusive,1073438,23056,1021,0,3920
Star Casablanca | نجوم…,معتز عرب - خلاص (حصرياً) | 2018 | (Mutaz Arab - Khalas (Exclusive,187054,3940,809,0,1638
