name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
TEDx Talks,Family Bonding  | Anna Claire A | TEDxYouth@LCJSMS,78,2,0,0,0
TEDx Talks,The Benefits of Mentoring  | Sydney V. | TEDxYouth@LCJSMS,58,0,0,0,0
TEDx Talks,Art Through Time  | Ana E. | TEDxYouth@LCJSMS,54,0,0,0,0
TEDx Talks,Connecting the other half of the world. | Mark LaPenna | TEDxNaperville,669,12,0,0,2
TEDx Talks,Clamping down on the flavours of the flu | Chris McMillan | TEDxUQ,58,0,0,0,0
TEDx Talks,Reframing ‘work’: the other four letter word | Edwin Trevor-Roberts | TEDxUQ,64,4,1,0,0
TEDx Talks,Want to help Africa? Travel there! | Kelly Virginia Phelan | TEDxUQ,302,8,2,0,1
TEDx Talks,My Life  | Lara C | TEDxYouth@LCJSMS,48,0,0,0,0
TEDx Talks,A singular cello duet | Carlo Maria Paulesu | TEDxLakeComo,82,4,1,0,0
TEDx Talks,Following the Leadership LAW into Action | Lawrence Henderson | TEDxYoungstown,181,11,0,0,2
TEDx Talks,How Work Can Heal the World | Josh Dysktra | TEDxYoungstown,59,0,0,0,0
TEDx Talks,How Genius and Mastery Can Save the World | Jonathan Altfeld | TEDxYoungstown,45,2,0,0,0
TEDx Talks,"The World has Written It's History, Now It's Time to Write Yours | Jaietta Jackson | TEDxYoungstown",61,2,1,0,0
TEDx Talks,"Eradicating Hate, Hunger, and Poverty | Eric Thompson | TEDxYoungstown",45,2,3,0,1
TEDx Talks,Where do the strong cry? A marriage ending photo. | Jodi Swanson & Ian Maksin | TEDxNaperville,1332,37,2,0,2
TEDx Talks,"An American Tragedy, How a Mass Extinction Can Help Save Our Forest | Rex Mann | TEDxYoungstown",167,4,0,0,2
TEDx Talks,¿Para qué (me) sirve la creatividad? | Tomás Franzoi | TEDxEstaciónEwald,60,3,0,0,0
TEDx Talks,The incorrect architecture of an unrealized project | Andrey Hodkevich | TEDxVUZF,44,1,0,0,0
TEDx Talks,The Mission in My Life | Bilyana Pantaleeva | TEDxVUZF,109,1,0,0,1
TEDx Talks,Bioprinting The Human Placenta | Anna-Elisabeth Kreuder | TEDxVienna,619,19,3,0,2
TEDx Talks,The Friendly Revolution - How We Can Reinvent Democracy | Philippe Narval | TEDxVienna,725,9,2,0,1
TEDx Talks,Why the News Media is stealing from the Pro Wrestling playbook | Eric Bischoff | TEDxNaperville,8265,303,4,0,53
TEDx Talks,Barreras invisibles y discapacidad | Sabina Lobato | TEDxUDeustoMadrid,14,0,0,0,0
TEDx Talks,La economía civil: superando el reduccionismo | Massimo Cermelli | TEDxUDeustoMadrid,11,0,0,0,0
TEDx Talks,Aprendiendo a fracasar:cómo preparar a los jóvenes para el éxito | Marina Gracia | TEDxUDeustoMadrid,58,1,0,0,0
TEDx Talks,"Y tú, ¿por qué te muerdes la lengua? | Sergio Martín | TEDxUDeustoMadrid",20,2,0,0,0
TEDx Talks,Menopausia y a vivir | Charo Izquierdo & Laura Ruiz de Galarreta | TEDxUDeustoMadrid,19,0,0,0,0
TEDx Talks,"Явление Слог  | Самрат Иржасов, Аян Мароканский, Никита Жуков & Лолита Башкатова | TEDxYouth@AbaySt",592,20,0,0,1
TEDx Talks,Blind Man Travelling Solo | Tony Giles | TEDxVienna,1196,39,1,0,3
TEDx Talks,Simplexity Ubiquity: The Confounding Interplay Of The Simple & Complex | Jeffrey Kluger | TEDxVienna,412,11,1,0,2
TEDx Talks,When Sex Is More Than Just Sex: Why Humans Make Sex So Complicated | Gurit Birnbaum | TEDxVienna,20149,102,19,0,14
TEDx Talks,Are Smart People Ruining Democracy? | Dan Kahan | TEDxVienna,3905,43,13,0,6
TEDx Talks,"Уехать, чтобы вернуться | Тохтар Алимбеков | TEDxYouth@AbaySt",37,5,0,0,0
TEDx Talks,Space programs for women empowerment in Kyrgyzstan | Kyzzhibek Batyrkanova | TEDxYouth@AbaySt,139,13,1,0,0
TEDx Talks,What Teens Do Not Know About Sex? | Nadya Zdravkova & Nikoleta Popkostadinova | TEDxVUZF,198,0,0,0,1
TEDx Talks,Как выбрать профессию? | Ализа Шайх | TEDxYouth@AbaySt,182,24,0,0,1
TEDx Talks,Цена за право быть собой | Султана Кали | TEDxYouth@AbaySt,179,18,0,0,4
TEDx Talks,Czy stetoskop może być inteligentniejszy od lekarza? | Honorata Hafke-Dys | TEDxKoszalin,147,7,0,0,2
TEDx Talks,ВИЧ - не приговор | Алия Масаурова & Бауыржан Байдуллаев | TEDxYouth@AbaySt,597,43,0,0,2
TEDx Talks,Мечты сбываются | Любовь Дудченко | TEDxYouth@AbaySt,63,1,0,0,0
TEDx Talks,Пора разрабатывать свой велосипед | Тимур Рыспеков | TEDxYouth@AbaySt,338,7,1,0,0
TEDx Talks,Экологический след - начни с себя | Айбек Рахим | TEDxYouth@AbaySt,58,10,0,0,0
TEDx Talks,"Почему сексуальная грамотность важна, как умение читать? | Карлыгаш Кабатова | TEDxYouth@AbaySt",197,10,0,0,0
TEDx Talks,Аутизм - новые возможности | Жанат Каратай | TEDxYouth@AbaySt,105,10,2,0,1
TEDx Talks,Быть собой не значит быть чужим | Ева Исмаилова | TEDxYouth@AbaySt,45,1,0,0,0
TEDx Talks,Молодежь СНГ: контроль и поиск свободы | Ирина Медникова | TEDxYouth@AbaySt,75,3,0,0,0
TEDx Talks,"Подростки, которых недооценивают  | Томирис Мурзагулова | TEDxYouth@AbaySt",71,5,0,0,1
TEDx Talks,Beautiful Cancer / How to Overcome a Cancer Diagnosis | Jami Buchanan McNees | TEDxTemecula,114,6,3,0,1
TEDx Talks,La pensée horizontale | Pablo SERVIGNE | TEDxDijon,135,6,1,0,0
TEDx Talks,Don't Blame Social Media | Mona Magdy | TEDxCairoUniversity,38,0,0,0,0
