name,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
ConCrafter | LUCA,Die LUSTIGSTEN Schülerantworten in TESTS,331451,34010,673,0,3923
ConCrafter | LUCA,"Meine Reaktion auf ""KRASS SCHULE""",448150,41329,735,0,4408
ConCrafter | LUCA,Diese Stars tragen MEIN Merch,392137,28690,2852,0,3988
ConCrafter | LUCA,Meine Nummer ist öffentlich,536551,44882,2039,0,13764
ConCrafter | LUCA,Erkennst DU diese YouTuber an ihren Outfits !?,223205,19415,227,0,1457
ConCrafter | LUCA,Der DÜMMSTE Witz aller ZEITEN,519433,47959,740,0,5095
ConCrafter | LUCA,Ich zeige euch meinen KLEIDERSCHRANK,292962,24071,616,0,2576
ConCrafter | LUCA,Dieses Google Maps Gebäude sieht aus wie ein...,331815,52982,846,0,4060
ConCrafter | LUCA,"Meine Reaktion auf ""Hilf Mir! - BABOS IN KÖLN""",797685,51238,1200,0,6538
ConCrafter | LUCA,Meine Mutter errät die Preise meiner Kleidung 👕,465100,35104,857,0,3092
ConCrafter | LUCA,Der SCHLECHTESTE Witz aller ZEITEN,572453,42631,1268,0,5071
ConCrafter | LUCA,Dieser Mann zieht seine Haut ab 😱 (SATISFYING VIDEO),467926,32204,1338,0,3595
ConCrafter | LUCA,ALEXA BELEIDIGT MICH,408459,35908,634,0,5234
ConCrafter | LUCA,Diese Website weiß ALLES,436009,37280,1014,0,7043
ConCrafter | LUCA,VERSUCHE NICHT ZU LACHEN !! (Tik Tok Memes),486729,36345,869,0,4437
ConCrafter | LUCA,"WARUM TUE ICH MIR DAS AN !? 😫 (""Hilf Mir"" Reaktion)",1099961,65817,1299,0,6510
ConCrafter | LUCA,Dieser Mann isst zum 1. Mal eine FRUCHT 😂,455888,34519,1461,0,5059
ConCrafter | LUCA,DANKE DAFÜR 🐌,341579,29756,893,0,4039
ConCrafter | LUCA,Meine neue Freundin,476203,35657,1143,0,4365
ConCrafter | LUCA,"Ich teste 7 Produkte, die von INSTAGRAM STARS beworben werden",775215,46423,940,0,4215
ConCrafter | LUCA,"Luca reagiert auf ""Hilf Mir!"" - Meine Mutter macht sich an meinen Freund ran",1096033,108134,1690,0,6349
ConCrafter | LUCA,Die PEINLICHSTEN Tik Tok Videos 😱😂,949557,58151,2021,0,5893
ConCrafter | LUCA,Freundin spielt zum 1. Mal ein HORROR SPIEL,445753,31648,797,0,3717
ConCrafter | LUCA,Luca reagiert auf GOOGLE MAPS,436732,37626,961,0,22327
ConCrafter | LUCA,Mein Kanal wird gelöscht,1339458,113686,7655,0,61869
ConCrafter | LUCA,Luca reagiert auf „Hilf Mir!“ - Mein Freund mästet mich,1329855,74055,2520,0,18971
ConCrafter | LUCA,TIK TOK Videos nachstellen 😂,967466,74271,3206,0,5197
ConCrafter | LUCA,GLÜCKSRAD EKEL CHALLENGE mit Rob!! (1 Spin = 1 Aufgabe),1006134,48949,1245,0,2638
ConCrafter | LUCA,Statement zur LUCA PIZZA 2,840802,53569,17569,0,12305
ConCrafter | LUCA,"NICHT ""AWW"" SAGEN CHALLENGE 🐶♥ (mit Freundin)",800760,39335,4088,0,3753
ConCrafter | LUCA,Was ich für Mails bekomme...,500321,52351,1043,0,5047
ConCrafter | LUCA,"Luca reagiert auf ""Hilf Mir!"" - Verliebt in den Chef",1678608,88525,2449,0,7075
ConCrafter | LUCA,"Mein Gastauftritt bei ""HILF MIR!"" von RTL2",1082461,62258,2194,0,6644
ConCrafter | LUCA,WAS HABE ICH GETAN ?!,219128,40785,739,0,2030
ConCrafter | LUCA,Die BESTEN Tik Tok Videos 😱🔥,2148145,77388,3548,0,9020
ConCrafter | LUCA,Das Reiche Leben von ConCrafter,403823,35928,1173,0,2626
ConCrafter | LUCA,GLÜCKSRAD CHALLENGE mit FREUNDIN!! (1 Spin = 50% Gute / Böse Challenge),1324077,56773,2036,0,4658
ConCrafter | LUCA,Diese Serie muss GESTOPPT werden...,1083292,80462,2608,0,8658
ConCrafter | LUCA,Meine Reaktion auf TIK TOK,1467868,78998,2205,0,6082
ConCrafter | LUCA,"Produkte kaufen, die einem als Kind VERBOTEN wurden",1007979,47803,1212,0,10511
ConCrafter | LUCA,LUCA PIZZA 2 WETTESSEN 🍕 (ohne Hände),326480,21060,2515,0,2157
ConCrafter | LUCA,ICH. MACHE. ES. WIEDER.,349969,47721,1007,0,3239
ConCrafter | LUCA,Ansage an Tanzverbot,812949,50125,16749,0,12078
ConCrafter | LUCA,GLÜCKSRAD CHALLENGE mit FREUNDIN!! (1 Spin = 1 Frage),1256876,60183,1385,0,4506
ConCrafter | LUCA,MEINE PIZZA IST DA 🍕,758218,39773,4336,0,8638
ConCrafter | LUCA,"Meine Reaktion auf STANDART SKILL - FORTNITE SONG ""Skybase""",790489,38766,9951,0,9505
ConCrafter | LUCA,Ich zeige euch zum 1. Mal die LUCA PIZZA 2 🍕,876278,44398,5886,0,10093
ConCrafter | LUCA,Wir versuchen ASMR 🤫😂,338435,26434,2159,0,3229
ConCrafter | LUCA,"Entscheide dich NICHT für die FALSCHE Box, sonst...",986130,46093,961,0,2698
ConCrafter | LUCA,"Versuche, immer die VORIGE Frage zu beantworten!! (Sehr schwer)",554239,45066,515,0,2686
