name,url
Music,https://socialblade.com/youtube/user/-9-kytw8zkzndhqj6fgpwy
Gaming,https://socialblade.com/youtube/channel/UCOpNcN46UbXVtpKMrmU4Abg
Sports,https://socialblade.com/youtube/channel/UCEgdi0XIXXZ-qJOFPf4JSKw
PewDiePie,https://socialblade.com/youtube/c/pewdiepie
T-Series,https://socialblade.com/youtube/c/tseriesmusic
YouTube Movies,https://socialblade.com/youtube/channel/UClgRkhTL3_hImCAmdLfDE4g
Canal KondZilla,https://socialblade.com/youtube/c/kondzilla
Justin Bieber,https://socialblade.com/youtube/c/justinbieber
5-Minute Crafts,https://socialblade.com/youtube/channel/UC295-Dw_tDNtZXFeAPAW6Aw
WWE,https://socialblade.com/youtube/c/wwe 
Dude Perfect,https://socialblade.com/youtube/c/dudeperfect
SET India,https://socialblade.com/youtube/c/set-india
Ed Sheeran,https://socialblade.com/youtube/c/ed-sheeran
HolaSoyGerman.,https://socialblade.com/youtube/c/holasoygermna
EminemMusic,https://socialblade.com/youtube/c/eminem
JustinBieberVEVO,https://socialblade.com/youtube/c/justinbiebervebo
News,https://socialblade.com/youtube/channel/UCYfdidRxbB8Qhf0Nx7ioOYw
whinderssonnunes,"https://socialblade.com/youtube/c/whindersson,"
elrubiusOMG,https://socialblade.com/youtube/c/elrubiusomg 
Katy Perry,https://socialblade.com/youtube/c/katyperry.
Taylor Swift,https://socialblade.com/youtube/c/taylorswift´
Rihanna,https://socialblade.com/youtube/c/rihanna~
JuegaGerman,https://socialblade.com/youtube/c/ juegagerman
Fernanfloo,https://socialblade.com/youtube/user/fernanfloo
Popular on YouTube,https://socialblade.com/youtube/channel/UCF0pVplsI8R5kcAqgtoRqoA
TheEllenShow,https://socialblade.com/youtube/c/ellen
One Direction,https://socialblade.com/youtube/c/onedirection
Badabun,https://socialblade.com/youtube/c/badabunoficial
TaylorSwiftVEVO,https://socialblade.com/youtube/user/taylorswiftvevo
Ariana Grande`,https://socialblade.com/youtube/c/ariana-grande
Felipe Neto,https://socialblade.com/youtube/c/felipenetodeverdade
Cocomelon - Nursery Rhymes,https://socialblade.com/youtube/c/cocomelon
Zee Music Company,https://socialblade.com/youtube/user/zeemusiccompany
YouTube Spotlight,https://socialblade.com/youtube/c/spotlight
KatyPerryVEVO,https://socialblade.com/youtube/user/katyperryvevo
EminemVEVO,https://socialblade.com/youtube/c/em%c4%b0nemvevo
RihannaVEVO,https://socialblade.com/youtube/user/rihannavevo
VEGETTA777,https://socialblade.com/youtube/user/vegetta777
Shakira,https://socialblade.com/youtube/c/shakira}
VanossGaming,https://socialblade.com/youtube/user/vanossgaming
Spinnin' Records,https://socialblade.com/youtube/c/spinnin´records
Trap Nation,https://socialblade.com/youtube/c/-trapnation
Smosh,https://socialblade.com/youtube/c/smosh
OneDirectionVEVO,https://socialblade.com/youtube/c/@onedirectionvevo
Bruno Mars,https://socialblade.com/youtube/c/brunomars
Luis Fonsi,https://socialblade.com/youtube/user/luisfonsivivo
Yuya,https://socialblade.com/youtube/c/-yuya
Marshmello,https://socialblade.com/youtube/c/marshmello-music
Markiplier,https://socialblade.com/youtube/c/markiplier
Maroon 5,https://socialblade.com/youtube/user/maroon5
Zee TV,https://socialblade.com/youtube/user/zeetv
nigahiga,https://socialblade.com/youtube/c/ryanhiga\
Get Movies,https://socialblade.com/youtube/c/ getmovies
Ozuna,https://socialblade.com/youtube/c/ozuna|
ChuChu TV Nursery Rhymes &amp; Kids…,https://socialblade.com/youtube/c/chuchutv
Luccas Neto,https://socialblade.com/youtube/c/ luccasneto
jacksepticeye,https://socialblade.com/youtube/c/jacksepticeye
rezendeevil,https://socialblade.com/youtube/user/rezendeevil
DanTDM,https://socialblade.com/youtube/user/thediamondminecart
[토이푸딩] ToyPudding TV,https://socialblade.com/youtube/user/toypudding
BRIGHT SIDE,https://socialblade.com/youtube/channel/UC4rlAVgAK0SGk-yTfe48Qpw
Selena Gomez,https://socialblade.com/youtube/c/selenagomez
Movieclips,https://socialblade.com/youtube/c/movieclipsvideos
Ninja,https://socialblade.com/youtube/c/ninja
KSI,https://socialblade.com/youtube/c/ksi
Sony Music India,https://socialblade.com/youtube/c/sonymusicindia
Luisito Comunica,https://socialblade.com/youtube/user/luisitocomunicaa
shakiraVEVO,https://socialblade.com/youtube/user/shakiravevo
NoCopyrightSounds,https://socialblade.com/youtube/c/-nocopyrightsounds
Alan Walker,https://socialblade.com/youtube/c/alanwalkermusic
WorkpointOfficial,https://socialblade.com/youtube/c/ workpointofficial 
WatchMojo.com,https://socialblade.com/youtube/c/mojo
BillionSurpriseToys - Nursery…,https://socialblade.com/youtube/c/billionsurprisetoystm
shane,https://socialblade.com/youtube/user/shane
GR6 EXPLODE,https://socialblade.com/youtube/user/gr6explode
David Guetta,https://socialblade.com/youtube/user/davidguettavevo
ArianaGrandeVevo,https://socialblade.com/youtube/user/arianagrandevevo
J Balvin,https://socialblade.com/youtube/user/jbalvintube
The Tonight Show Starring Jimmy…,https://socialblade.com/youtube/c/thetonightshowstarringjimmyfallon
JennaMarbles,https://socialblade.com/youtube/user/jennamarbles
ibighit,https://socialblade.com/youtube/user/ibighit
Wave Music,https://socialblade.com/youtube/c/bhojpuriwave
Você Sabia?,https://socialblade.com/youtube/c/vcsabiavideos
enchufetv,https://socialblade.com/youtube/c/enchufetv 
LuisFonsiVEVO,https://socialblade.com/youtube/user/luisfonsivevo
Logan Paul Vlogs,https://socialblade.com/youtube/c/loganpaulvlogs
Adele,https://socialblade.com/youtube/c/adele
Skrillex,https://socialblade.com/youtube/c/skrillex
FBE,https://socialblade.com/youtube/c/fbe\\\\
Maluma,https://socialblade.com/youtube/channel/UClZuKq2m0Qu-HkopkSBLpEw
BuzzFeedVideo,https://socialblade.com/youtube/c/buzzfeedvideo
Маша и Медведь,https://socialblade.com/youtube/c/mashamedvedtv
WORLDSTARHIPHOP,https://socialblade.com/youtube/c/worldstarhip-hop
Beyoncé,https://socialblade.com/youtube/c/beyonce\\\\
Vevo,https://socialblade.com/youtube/c/-vevo
CanalCanalha,https://socialblade.com/youtube/c/canalcanalha
Speed Records,https://socialblade.com/youtube/user/speedrecordss
Jake Paul,https://socialblade.com/youtube/c/jakepaulchannel
Daddy Yankee,https://socialblade.com/youtube/c/daddyyankee
El Reino Infantil,https://socialblade.com/youtube/c/elreinoinfantil
Nicki Minaj,https://socialblade.com/youtube/c/nicki-minaj
Goldmines Telefilms,https://socialblade.com/youtube/c/goldminestelefilms
Shemaroo Filmi Gaane,https://socialblade.com/youtube/c/filmigaane
Ryan ToysReview,https://socialblade.com/youtube/c/ryantoysreview
The Late Late Show with James…,https://socialblade.com/youtube/user/thelatelateshow
Little Baby Bum - Nursery Rhymes &amp;…,https://socialblade.com/youtube/c/littlebabybum
NickyJamTV,https://socialblade.com/youtube/c/nickyjamtv
Wiz Khalifa,https://socialblade.com/youtube/c/wizkhalifa
CVS 3D Rhymes,https://socialblade.com/youtube/c/cybervillagesolution
The Chainsmokers,https://socialblade.com/youtube/c/thechainsmokers
SMTOWN,https://socialblade.com/youtube/c/s m to w n
Drake,https://socialblade.com/youtube/c/drake\\\\\\\\\\\\\\\\
Shawn Mendes,https://socialblade.com/youtube/c/shawn mendes
Enrique Iglesias,https://socialblade.com/youtube/c/enriqueiglesias
Liza Koshy,https://socialblade.com/youtube/c/lizakoshy
LosPolinesios,https://socialblade.com/youtube/c/lospolinesios
Werevertumorro,https://socialblade.com/youtube/c/werevertumorro
AdeleVEVO,"https://socialblade.com/youtube/c/adele,"
Ultra Music,https://socialblade.com/youtube/c/ultramusic
PTXofficial,https://socialblade.com/youtube/c/ptxofficial\
SonyMusicIndiaVEVO,https://socialblade.com/youtube/user/sonymusicindiavevo
PopularMMOs,https://socialblade.com/youtube/user/popularmmos
AuthenticGames,https://socialblade.com/youtube/user/authenticgames
YRF,https://socialblade.com/youtube/c/yrf
Maroon5VEVO,https://socialblade.com/youtube/user/maroon5vevo
TEDx Talks,https://socialblade.com/youtube/user/tedxtalks
DrossRotzank,https://socialblade.com/youtube/c/drossrotzanck
SelenaGomezVEVO,https://socialblade.com/youtube/c/selenagomezvevi
Ali-A,https://socialblade.com/youtube/c/alia
ImagineDragons,https://socialblade.com/youtube/user/imaginedragons
Eros Now,https://socialblade.com/youtube/c/erosentertainment
Collins Key,https://socialblade.com/youtube/c/collinskey
Calvin Harris,https://socialblade.com/youtube/c/calvinharris
MalumaVEVO,https://socialblade.com/youtube/user/malumavevo
RomanAtwoodVlogs,https://socialblade.com/youtube/c/romanatwoodvolgs
Porta dos Fundos,https://socialblade.com/youtube/c/portadosfundos
ChrisBrownTV,https://socialblade.com/youtube/user/chrisbrowntv
TheWillyrex,https://socialblade.com/youtube/user/thewillyrex
Demi Lovato,https://socialblade.com/youtube/c/demi
Kimberly Loaiza,https://socialblade.com/youtube/c/kimberlyloaiza
CaELiKe,https://socialblade.com/youtube/c/hicaeli
BLACKPINK,https://socialblade.com/youtube/c/blackpinkofficial
Good Mythical Morning,https://socialblade.com/youtube/c/rhettandlink2
XXXTENTACION,https://socialblade.com/youtube/c/xxxtentacion
The Weeknd,https://socialblade.com/youtube/user/xoxxxoooxo
IISuperwomanII,https://socialblade.com/youtube/c/lillysingh
Galinha Pintadinha,https://socialblade.com/youtube/c/galinhapintadinha
FailArmy,https://socialblade.com/youtube/c/failarmynation
Bad Bunny,https://socialblade.com/youtube/c/badbunnypr
ERB,https://socialblade.com/youtube/c/erb;
GMM GRAMMY OFFICIAL,https://socialblade.com/youtube/c/gmmgrammyofficialblogspot2014
Colors TV,https://socialblade.com/youtube/c/colorstv\\\\\\\\\\\\\\\\
ABS-CBN Entertainment,https://socialblade.com/youtube/c/abscbnonline
1theK (원더케이),https://socialblade.com/youtube/c/1-thek
