name,url,uploads,subsribers,views,country,channeltype,facebooklink,twitterlink
Music,https://socialblade.com/youtube/user/-9-kytw8zkzndhqj6fgpwy,0,103855058,0,,Music,https://youtube.com/channel/UC-9-kyTW8ZkZNDHQJ6FgpwQ,
Gaming,https://socialblade.com/youtube/channel/UCOpNcN46UbXVtpKMrmU4Abg,0,80832325,0,,games,https://youtube.com/channel/UCOpNcN46UbXVtpKMrmU4Abg,
Sports,https://socialblade.com/youtube/channel/UCEgdi0XIXXZ-qJOFPf4JSKw,0,75761595,0,,sports,https://youtube.com/channel/UCEgdi0XIXXZ-qJOFPf4JSKw,
PewDiePie,https://socialblade.com/youtube/c/pewdiepie,3671,72847193,19345736331,US,comedy,https://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,https://twitter.com/pewdiepie
T-Series,https://socialblade.com/youtube/c/tseriesmusic,12876,72763763,54556663778,IN,music,https://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA,https://www.twitter.com/tseries
YouTube Movies,https://socialblade.com/youtube/channel/UClgRkhTL3_hImCAmdLfDE4g,0,71286699,0,,film,https://youtube.com/channel/UClgRkhTL3_hImCAmdLfDE4g,
Canal KondZilla,https://socialblade.com/youtube/c/kondzilla,907,43502830,21342765174,BR,music,https://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw,https://twitter.com/kondzilla
Justin Bieber,https://socialblade.com/youtube/c/justinbieber,132,42217879,598040864,CA,entertainment,https://youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,https://twitter.com/justinbieber
5-Minute Crafts,https://socialblade.com/youtube/channel/UC295-Dw_tDNtZXFeAPAW6Aw,2420,42316352,10592008945,US,howto,https://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw,
WWE,https://socialblade.com/youtube/c/wwe ,38302,37205221,28599198363,US,sports,https://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg,https://twitter.com/wwe
Dude Perfect,https://socialblade.com/youtube/c/dudeperfect,192,36824090,6693103819,US,sports,https://youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ,https://twitter.com/dudeperfect
SET India,https://socialblade.com/youtube/c/set-india,27375,36744000,25334973436,IN,shows,https://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q,https://twitter.com/sonyliv
Ed Sheeran,https://socialblade.com/youtube/c/ed-sheeran,122,35721488,15320869855,GB,music,https://youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,https://twitter.com/edsheeran
HolaSoyGerman.,https://socialblade.com/youtube/c/holasoygermna,137,34937029,3697807184,CL,entertainment,https://youtube.com/channel/UCZJ7m7EnCNodqnu5SAtg8eQ,https://www.twitter.com/germangarmendia
