name,url,uploads,subsribers,views,country,channeltype,facebooklink,twitterlink
PewDiePie,https://socialblade.com/youtube/c/pewdiepie,3671.0,72847193.0,19345736331.0,US,comedy,https://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,https://twitter.com/pewdiepie
Canal KondZilla,https://socialblade.com/youtube/c/kondzilla,907.0,43502830.0,21342765174.0,BR,music,https://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw,https://twitter.com/kondzilla
Justin Bieber,https://socialblade.com/youtube/c/justinbieber,132.0,42217879.0,598040864.0,CA,entertainment,https://youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,https://twitter.com/justinbieber
WWE,https://socialblade.com/youtube/c/wwe ,38302.0,37205221.0,28599198363.0,US,sports,https://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg,https://twitter.com/wwe
Dude Perfect,https://socialblade.com/youtube/c/dudeperfect,192.0,36824090.0,6693103819.0,US,sports,https://youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ,https://twitter.com/dudeperfect
SET India,https://socialblade.com/youtube/c/set-india,27375.0,36744000.0,25334973436.0,IN,shows,https://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q,https://twitter.com/sonyliv
Ed Sheeran,https://socialblade.com/youtube/c/ed-sheeran,122.0,35721488.0,15320869855.0,GB,music,https://youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,https://twitter.com/edsheeran
EminemMusic,https://socialblade.com/youtube/s/?q=UCfM3zsQsOnfWNUppiycmBuw,116.0,34465825.0,577890186.0,US,music,https://youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw,https://twitter.com/eminem
JustinBieberVEVO,https://socialblade.com/youtube/c/justinbiebervebo,123.0,34055542.0,18111627311.0,US,music,https://youtube.com/channel/UCHkj014U2CQ2Nv0UZeYpE_A,https://twitter.com/justinbieber
elrubiusOMG,https://socialblade.com/youtube/c/elrubiusomg ,786.0,32285687.0,7101012849.0,ES,comedy,https://youtube.com/channel/UCXazgXDIYyWH-yXLAkcrFxw,https://twitter.com/rubiu5
Katy Perry,https://socialblade.com/youtube/c/katyperry.,95.0,31835090.0,355962949.0,US,music,https://youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q,https://twitter.com/katyperry
Taylor Swift,https://socialblade.com/youtube/c/taylorswift´,162.0,31690004.0,225454008.0,US,music,https://youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,https://twitter.com/taylorswift13
Rihanna,https://socialblade.com/youtube/c/rihanna~,76.0,30962944.0,59097185.0,BB,entertainment,https://youtube.com/channel/UCcgqSM4YEo5vVQpqwN-MaNw,https://twitter.com/rihanna
JuegaGerman,https://socialblade.com/youtube/c/ juegagerman,1508.0,30703155.0,8265537831.0,CL,games,https://youtube.com/channel/UCYiGq8XF7YQD00x7wAd62Zg,https://twitter.com/germangarmendia
Fernanfloo,https://socialblade.com/youtube/user/fernanfloo,570.0,30627661.0,7237059600.0,SV,games,https://youtube.com/channel/UCV4xOVpbcV8SdueDCOxLXtQ,https://twitter.com/fernanfloo
One Direction,https://socialblade.com/youtube/c/onedirection,10.0,24536.0,16137779.0,US,music,https://youtube.com/channel/UC9LedNAkae0vGNJaE9Vmx0Q,https://twitter.com/gangxr
Badabun,https://socialblade.com/youtube/s/?q=UCYWOjHweP2V-8kGKmmAmQJQ,3420.0,28595220.0,7490342751.0,MX,entertainment,https://youtube.com/channel/UCYWOjHweP2V-8kGKmmAmQJQ,https://twitter.com/badabunoficial
TaylorSwiftVEVO,https://socialblade.com/youtube/user/taylorswiftvevo,86.0,27945566.0,15859062495.0,US,music,https://youtube.com/channel/UCANLZYMidaCbLQFWXBC95Jg,https://twitter.com/taylorswift13
Ariana Grande`,https://socialblade.com/youtube/c/ariana-grande,110.0,28650590.0,495095967.0,US,music,https://youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g,https://twitter.com/arianagrande
Cocomelon - Nursery Rhymes,https://socialblade.com/youtube/c/cocomelon,388.0,28292811.0,14889865299.0,US,education,https://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ,https://twitter.com/abckidtv
Zee Music Company,https://socialblade.com/youtube/user/zeemusiccompany,3628.0,27574919.0,13305568138.0,IN,music,https://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg,https://twitter.com/zeemusiccompany
YouTube Spotlight,https://socialblade.com/youtube/c/spotlight,284.0,27077171.0,1465538124.0,US,news,https://youtube.com/channel/UCBR8-60-B28hp2BmDPdntcQ,https://twitter.com/youtube
KatyPerryVEVO,https://socialblade.com/youtube/user/katyperryvevo,125.0,26546922.0,16599134166.0,US,music,https://youtube.com/channel/UC-8Q-hLdECwQmaWNwXitYDw,https://twitter.com/katyperry
EminemVEVO,https://socialblade.com/youtube/c/em%c4%b0nemvevo,82.0,26540795.0,12107361504.0,US,music,https://youtube.com/channel/UC20vb-R_px4CguHzzBPhoyQ,https://twitter.com/eminem
RihannaVEVO,https://socialblade.com/youtube/user/rihannavevo,106.0,26448849.0,13389845318.0,US,music,https://youtube.com/channel/UC2xskkQVFEpLcGFnNSLQY0A,https://twitter.com/rihanna
VEGETTA777,https://socialblade.com/youtube/user/vegetta777,4880.0,24842757.0,9723788929.0,ES,games,https://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ,https://twitter.com/vegetta777
VanossGaming,https://socialblade.com/youtube/user/vanossgaming,902.0,23916609.0,10192522145.0,CA,games,https://youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g,https://twitter.com/#!/vanossgaming
Trap Nation,https://socialblade.com/youtube/c/-trapnation,1528.0,23882643.0,8300758530.0,US,music,https://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg,https://twitter.com/alltrapnation
Smosh,https://socialblade.com/youtube/c/smosh,1024.0,23765539.0,7869512644.0,US,comedy,https://youtube.com/channel/UCY30JRSgfhYXA6i6xX1erWg,https://twitter.com/smosh
OneDirectionVEVO,https://socialblade.com/youtube/c/@onedirectionvevo,171.0,23340123.0,8441301958.0,GB,music,https://youtube.com/channel/UCbW18JZRgko_mOGm5er8Yzg,https://twitter.com/onedirection
Bruno Mars,https://socialblade.com/youtube/c/brunomars,67.0,23242854.0,9986686905.0,US,music,https://youtube.com/channel/UCoUM-UJ7rirJYP8CQ0EIaHA,https://twitter.com/brunomars
Luis Fonsi,https://socialblade.com/youtube/user/luisfonsivivo,73.0,22974052.0,15598679.0,US,entertainment,https://youtube.com/channel/UCxoq-PAQeAdk_zyg8YS0JqA,https://twitter.com/luisfonsi
Yuya,https://socialblade.com/youtube/c/-yuya,581.0,22842924.0,2329963951.0,MX,howto,https://youtube.com/channel/UCBNs31xysxpAGMheg8OrngA,https://twitter.com/#!/yuyacst
Marshmello,https://socialblade.com/youtube/c/marshmello-music,227.0,22911431.0,3989588638.0,US,music,https://youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,https://twitter.com/marshmellomusic
Markiplier,https://socialblade.com/youtube/c/markiplier,4267.0,22387141.0,10370151473.0,US,games,https://youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ,https://twitter.com/markiplier
Zee TV,https://socialblade.com/youtube/user/zeetv,57251.0,21799931.0,14691849157.0,IN,entertainment,https://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ,https://twitter.com/zeetv
nigahiga,https://socialblade.com/youtube/c/ryanhiga\,346.0,21297355.0,3928862237.0,US,entertainment,https://youtube.com/channel/UCSAUGyc_xA8uYzaIVG6MESQ,https://twitter.com/therealryanhiga
Get Movies,https://socialblade.com/youtube/c/ getmovies,2809.0,21238865.0,18025406302.0,RU,shows,https://youtube.com/channel/UClZkHt2kNIgyrTTPnSQV3SA,https://twitter.com/getmoviesru
Ozuna,https://socialblade.com/youtube/c/ozuna|,58.0,21208548.0,10066416132.0,PR,music,https://youtube.com/channel/UCjIA3wwhi0QjSOXAZwOXbPA,https://twitter.com/ozunapr
ChuChu TV Nursery Rhymes &amp; Kids…,https://socialblade.com/youtube/c/chuchutv,268.0,21052517.0,15991797534.0,IN,education,https://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg,https://twitter.com/thechuchutv
Luccas Neto,https://socialblade.com/youtube/c/ luccasneto,550.0,21109162.0,4636874441.0,BR,people,https://youtube.com/channel/UC_gV70G_Y51LTa3qhu8KiEA,https://twitter.com/luccasnetobr
jacksepticeye,https://socialblade.com/youtube/c/jacksepticeye,3954.0,20829436.0,10335546115.0,IE,games,https://youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g,https://twitter.com/jack_septic_eye
rezendeevil,https://socialblade.com/youtube/user/rezendeevil,6845.0,20875135.0,7220442885.0,BR,games,https://youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg,https://twitter.com/rezende_evil
Movieclips,https://socialblade.com/youtube/c/movieclipsvideos,30861.0,20211024.0,18867859727.0,US,film,https://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg,https://twitter.com/movieclips
Ninja,https://socialblade.com/youtube/c/ninja,792.0,20084448.0,1551905654.0,US,games,https://youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ,https://twitter.com/ninja
Sony Music India,https://socialblade.com/youtube/c/sonymusicindia,2319.0,20110474.0,8083873358.0,IN,music,https://youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg,https://twitter.com/sonymusicindia
Luisito Comunica,https://socialblade.com/youtube/user/luisitocomunicaa,567.0,19842090.0,2288435244.0,MX,comedy,https://youtube.com/channel/UCECJDeK0MNapZbpaOzxrUPA,https://twitter.com/luisitocomunica
shakiraVEVO,https://socialblade.com/youtube/user/shakiravevo,144.0,19575722.0,15128735659.0,US,music,https://youtube.com/channel/UCGnjeahCJW1AF34HBmQTJ-Q,https://twitter.com/shakira
WatchMojo.com,https://socialblade.com/youtube/c/mojo,72.0,84.0,15632.0,,tech,https://youtube.com/channel/UCQIzjrOGJh4zOSu1gaDgpYw,https://twitter.com/#!/searchmojo
BillionSurpriseToys - Nursery…,https://socialblade.com/youtube/c/billionsurprisetoystm,237.0,19444632.0,6333845940.0,MX,education,https://youtube.com/channel/UCRx3mKNUdl8QE06nEug7p6Q,https://twitter.com/billionsurprise
shane,https://socialblade.com/youtube/user/shane,1731.0,19291414.0,4603833197.0,US,comedy,https://youtube.com/channel/UCV9_KinVpV-snHe3C3n1hvA,https://twitter.com/#!/shanedawson
David Guetta,https://socialblade.com/youtube/user/davidguettavevo,463.0,19222933.0,10371073516.0,US,music,https://youtube.com/channel/UC1l7wYrva1qCH-wgqcHaaRg,https://twitter.com/#!/davidguetta
ArianaGrandeVevo,https://socialblade.com/youtube/user/arianagrandevevo,95.0,19062650.0,9928762097.0,US,music,https://youtube.com/channel/UC0VOyT2OCBKdQhF3BAbZ-1g,https://twitter.com/arianagrande
JennaMarbles,https://socialblade.com/youtube/user/jennamarbles,428.0,18878721.0,2927078819.0,US,comedy,https://youtube.com/channel/UC9gFih9rw0zNCK3ZtoKQQyA,https://twitter.com/jenna_marbles
ibighit,https://socialblade.com/youtube/user/ibighit,280.0,19014393.0,4065063053.0,KR,music,https://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA,https://twitter.com/#!/bighitent
Você Sabia?,https://socialblade.com/youtube/s/?q=UCj0O6W8yDuLg3iraAXKgCrQ,681.0,19143712.0,2061218195.0,BR,entertainment,https://youtube.com/channel/UCj0O6W8yDuLg3iraAXKgCrQ,https://twitter.com/lukasmarqs
enchufetv,https://socialblade.com/youtube/c/enchufetv ,1082.0,18826326.0,6413672389.0,CO,comedy,https://youtube.com/channel/UCoGDh1Xa3kUCpok24JN5DKA,https://twitter.com/enchufetv
LuisFonsiVEVO,https://socialblade.com/youtube/user/luisfonsivevo,56.0,18607930.0,9732824051.0,US,music,https://youtube.com/channel/UCLp8RBhQHu9wSsq62j_Md6A,https://twitter.com/luisfonsi
Logan Paul Vlogs,https://socialblade.com/youtube/c/loganpaulvlogs,578.0,18611196.0,4132944437.0,US,entertainment,https://youtube.com/channel/UCG8rbF3g2AMX70yOd8vqIZg,https://twitter.com/loganpaul
Skrillex,https://socialblade.com/youtube/c/skrillex,163.0,18245948.0,4832078910.0,US,music,https://youtube.com/channel/UC_TVqp_SyG6j5hG-xVRy95A,https://twitter.com/skrillex
FBE,https://socialblade.com/youtube/c/fbe\\\\,1803.0,18185346.0,7278624018.0,US,entertainment,https://youtube.com/channel/UC0v-tlzsn0QZwJnkiaUSJVQ,https://twitter.com/fbe/
BuzzFeedVideo,https://socialblade.com/youtube/c/buzzfeedvideo,5687.0,17945592.0,14417590745.0,US,people,https://youtube.com/channel/UCpko_-a4wgz2u_DgDgd9fqA,https://twitter.com/buzzfeedvideo
Маша и Медведь,https://socialblade.com/youtube/s/?q=UCRv76wLBC73jiP7LX4C3l8Q,585.0,18006880.0,17314974004.0,RU,film,https://youtube.com/channel/UCRv76wLBC73jiP7LX4C3l8Q,https://twitter.com/mashaandthebear
WORLDSTARHIPHOP,https://socialblade.com/youtube/c/worldstarhip-hop,4997.0,17965072.0,12502817120.0,US,music,https://youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ,https://twitter.com/worldstar
Vevo,https://socialblade.com/youtube/c/-vevo,1552.0,17725729.0,549750326.0,US,music,https://youtube.com/channel/UC2pmfLm7iq6Ov1UwYrWYkZA,https://twitter.com/vevo/vevo-around-the-world/members
Jake Paul,https://socialblade.com/youtube/c/jakepaulchannel,709.0,17597296.0,5169729809.0,US,people,https://youtube.com/channel/UCcgVECVN4OKV6DH1jLkqmcA,https://twitter.com/jakepaul
Daddy Yankee,https://socialblade.com/youtube/c/daddyyankee,326.0,17664130.0,6150029715.0,PR,music,https://youtube.com/channel/UC9TO_oo4c_LrOiKNaY6aysA,https://twitter.com/daddy_yankee
El Reino Infantil,https://socialblade.com/youtube/c/elreinoinfantil,622.0,17525606.0,17673825315.0,AR,music,https://youtube.com/channel/UCK1i2UviaXLUNrZlAFpw_jA,https://twitter.com/#!/reino_infantil
Nicki Minaj,https://socialblade.com/youtube/c/nicki-minaj,18.0,17508973.0,84312440.0,US,music,https://youtube.com/channel/UC3jOd7GUMhpgJRBhiLzuLsg,https://twitter.com/nickiminaj
Goldmines Telefilms,https://socialblade.com/youtube/s/?q=UCyoXW-Dse7fURq30EWl_CUA,354.0,17584744.0,1613920414.0,IN,film,https://youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA,https://twitter.com/gtelefilms
Shemaroo Filmi Gaane,https://socialblade.com/youtube/s/?q=UCP6uH_XlsxrXwZQ4DlqbqPg,5321.0,17471522.0,8062692329.0,IN,music,https://youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg,https://twitter.com/filmigaane
The Late Late Show with James…,https://socialblade.com/youtube/user/thelatelateshow,3024.0,17088382.0,5056821394.0,US,entertainment,https://youtube.com/channel/UCJ0uqCI0Vqr2Rrt1HseGirg,https://twitter.com/latelateshow
Little Baby Bum - Nursery Rhymes &amp; Kids Songs,https://socialblade.com/youtube/s/?q=UCKAqou7V9FAWXpZd9xtOg3Q,749.0,17034789.0,17980663990.0,US,education,https://youtube.com/channel/UCKAqou7V9FAWXpZd9xtOg3Q,https://twitter.com/littlebabybum
Wiz Khalifa,https://socialblade.com/youtube/c/wizkhalifa,446.0,16859766.0,8273515306.0,US,music,https://youtube.com/channel/UCVp3nfGRxmMadNDuVbJSk8A,https://twitter.com/wizkhalifa
CVS 3D Rhymes,https://socialblade.com/youtube/c/cybervillagesolution,317.0,16945716.0,10387467691.0,IN,education,https://youtube.com/channel/UCsPF3cApzCohxPp5oKdoWSQ,https://twitter.com/cvs3danimation
Shawn Mendes,https://socialblade.com/youtube/c/shawn mendes,74.0,16670134.0,234472808.0,CA,music,https://youtube.com/channel/UCAvCL8hyXjSUHKEGuUPr1BA,https://twitter.com/shawnmendes
Enrique Iglesias,https://socialblade.com/youtube/c/enriqueiglesias,351.0,16576119.0,340145720.0,US,music,https://youtube.com/channel/UC-6czyMkxDi8E8akPl0c7_w,https://twitter.com/enriqueiglesias
Liza Koshy,https://socialblade.com/youtube/c/lizakoshy,148.0,16319903.0,1895603487.0,US,comedy,https://youtube.com/channel/UCxSz6JVYmzVhtkraHWZC7HQ,https://twitter.com/lizakoshy
LosPolinesios,https://socialblade.com/youtube/s/?q=UCs8qka8tfhdc69wzXYdtZ3A,418.0,16419431.0,3064006436.0,MX,people,https://youtube.com/channel/UCs8qka8tfhdc69wzXYdtZ3A,https://twitter.com/platicapolinesi
Werevertumorro,https://socialblade.com/youtube/s/?q=UCzVIrPfZBE-XkBISBybMBLA,1038.0,16216871.0,2544572432.0,MX,howto,https://youtube.com/channel/UCzVIrPfZBE-XkBISBybMBLA,https://twitter.com/werevertumorro
AdeleVEVO,"https://socialblade.com/youtube/c/adele,",31.0,16186152.0,7676791729.0,GB,music,https://youtube.com/channel/UComP_epzeKzvBX156r6pm1Q,https://twitter.com/adele
PTXofficial,https://socialblade.com/youtube/c/ptxofficial\,168.0,15987561.0,3600092117.0,US,music,https://youtube.com/channel/UCmv1CLT6ZcFdTJMHxaR9XeA,https://twitter.com/ptxofficial
AuthenticGames,https://socialblade.com/youtube/user/authenticgames,3516.0,15780312.0,6317871552.0,BR,games,https://youtube.com/channel/UCIPA6iWNaoetaa1T46RkzXw,https://twitter.com/authenticgames
YRF,https://socialblade.com/youtube/s/?q=UCbTLwN10NoCU4WDzLf1JMOA,3645.0,15859596.0,8602686915.0,IN,music,https://youtube.com/channel/UCbTLwN10NoCU4WDzLf1JMOA,https://twitter.com/yrf
TEDx Talks,https://socialblade.com/youtube/user/tedxtalks,123283.0,15774174.0,2879914161.0,US,nonprofit,https://youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q,https://twitter.com/tedx
DrossRotzank,https://socialblade.com/youtube/c/drossrotzanck,1165.0,15678385.0,3257700977.0,AR,entertainment,https://youtube.com/channel/UCNYW2vfGrUE6R5mIJYzkRyQ,https://twitter.com/eldiariodedross
SelenaGomezVEVO,https://socialblade.com/youtube/c/selenagomezvevi,127.0,15603450.0,6812408815.0,US,music,https://youtube.com/channel/UCjK8ORC71kwyj1DWFwril_A,https://twitter.com/selenagomez
Eros Now,https://socialblade.com/youtube/s/?q=UCX52tYZiEh_mHoFja3Veciw,9912.0,15355280.0,9364609338.0,IN,entertainment,https://youtube.com/channel/UCX52tYZiEh_mHoFja3Veciw,https://twitter.com/erosnow
Collins Key,https://socialblade.com/youtube/s/?q=UC7TTtOQKMXTWWMtWQMIgVSA,223.0,15495641.0,2588415418.0,US,entertainment,https://youtube.com/channel/UC7TTtOQKMXTWWMtWQMIgVSA,https://twitter.com/collinskey
MalumaVEVO,https://socialblade.com/youtube/user/malumavevo,91.0,15077846.0,10472008990.0,US,music,https://youtube.com/channel/UCFkoPRmuxqr37jvGmmpzhzQ,https://twitter.com/maluma
ChrisBrownTV,https://socialblade.com/youtube/user/chrisbrowntv,15.0,15060977.0,30772848.0,US,music,https://youtube.com/channel/UCcYrdFJF7hmPXRNaWdrko4w,https://twitter.com/chrisbrown
TheWillyrex,https://socialblade.com/youtube/user/thewillyrex,5256.0,15017668.0,5224787321.0,ES,games,https://youtube.com/channel/UC4LHNX8d8RqnDX0OezgmCTg,https://twitter.com/willyrexyt
Demi Lovato,https://socialblade.com/youtube/c/demi,189.0,14852198.0,389686196.0,US,entertainment,https://youtube.com/channel/UCZkURf9tDolFOeuw_4RD7XQ,https://twitter.com/ddlovato
Kimberly Loaiza,https://socialblade.com/youtube/c/kimberlyloaiza,74.0,14902266.0,830350626.0,MX,people,https://youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ,https://twitter.com/kimberlyloaiza_
CaELiKe,https://socialblade.com/youtube/c/hicaeli,459.0,14712616.0,1297440180.0,MX,entertainment,https://youtube.com/channel/UCGRtuAmEObNSmlOLDWzZfVg,https://twitter.com/caelike
Good Mythical Morning,https://socialblade.com/youtube/s/?q=UC4PooiX37Pld1T8J5SYT-SQ,2145.0,14716762.0,4949212956.0,US,entertainment,https://youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ,https://twitter.com/rhettandlink
The Weeknd,https://socialblade.com/youtube/user/xoxxxoooxo,65.0,14541446.0,694794170.0,CA,music,https://youtube.com/channel/UC0WP5P-ufpRfjbNrmOWwLBQ,https://twitter.com/theweeknd
IISuperwomanII,https://socialblade.com/youtube/c/lillysingh,756.0,14452505.0,2881634276.0,CA,comedy,https://youtube.com/channel/UCfm4y4rHF5HGrSr-qbvOwOg,https://twitter.com/iisuperwomanii
