name,url,uploads,subsribers,views,country,channeltype,facebooklink,twitterlink,followers
PewDiePie,https://socialblade.com/youtube/c/pewdiepie,3671,72847193,US,19345736331,comedy,https://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,https://twitter.com/pewdiepie,16081211
Canal KondZilla,https://socialblade.com/youtube/c/kondzilla,907,43502830,BR,21342765174,music,https://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw,https://twitter.com/kondzilla,369904
Justin Bieber,https://socialblade.com/youtube/c/justinbieber,132,42217879,CA,598040864,entertainment,https://youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,https://twitter.com/justinbieber,104611142
WWE,https://socialblade.com/youtube/c/wwe ,38302,37205221,US,28599198363,sports,https://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg,https://twitter.com/wwe,10295633
Dude Perfect,https://socialblade.com/youtube/c/dudeperfect,192,36824090,US,6693103819,sports,https://youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ,https://twitter.com/dudeperfect,394364
SET India,https://socialblade.com/youtube/c/set-india,27375,36744000,IN,25334973436,shows,https://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q,https://twitter.com/sonyliv,67258
Ed Sheeran,https://socialblade.com/youtube/c/ed-sheeran,122,35721488,GB,15320869855,music,https://youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,https://twitter.com/edsheeran,19348989
EminemMusic,https://socialblade.com/youtube/s/?q=UCfM3zsQsOnfWNUppiycmBuw,116,34465825,US,577890186,music,https://youtube.com/channel/UCfM3zsQsOnfWNUppiycmBuw,https://twitter.com/eminem,22432869
JustinBieberVEVO,https://socialblade.com/youtube/c/justinbiebervebo,123,34055542,US,18111627311,music,https://youtube.com/channel/UCHkj014U2CQ2Nv0UZeYpE_A,https://twitter.com/justinbieber,104611142
elrubiusOMG,https://socialblade.com/youtube/c/elrubiusomg ,786,32285687,ES,7101012849,comedy,https://youtube.com/channel/UCXazgXDIYyWH-yXLAkcrFxw,https://twitter.com/rubiu5,12327895
Katy Perry,https://socialblade.com/youtube/c/katyperry.,95,31835090,US,355962949,music,https://youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q,https://twitter.com/katyperry,106897276
Taylor Swift,https://socialblade.com/youtube/c/taylorswift´,162,31690004,US,225454008,music,https://youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,https://twitter.com/taylorswift13,83125945
Rihanna,https://socialblade.com/youtube/c/rihanna~,76,30962944,BB,59097185,entertainment,https://youtube.com/channel/UCcgqSM4YEo5vVQpqwN-MaNw,https://twitter.com/rihanna,88396614
JuegaGerman,https://socialblade.com/youtube/c/ juegagerman,1508,30703155,CL,8265537831,games,https://youtube.com/channel/UCYiGq8XF7YQD00x7wAd62Zg,https://twitter.com/germangarmendia,11428824
Fernanfloo,https://socialblade.com/youtube/user/fernanfloo,570,30627661,SV,7237059600,games,https://youtube.com/channel/UCV4xOVpbcV8SdueDCOxLXtQ,https://twitter.com/fernanfloo,4730028
One Direction,https://socialblade.com/youtube/c/onedirection,10,24536,US,16137779,music,https://youtube.com/channel/UC9LedNAkae0vGNJaE9Vmx0Q,https://twitter.com/gangxr,
Badabun,https://socialblade.com/youtube/s/?q=UCYWOjHweP2V-8kGKmmAmQJQ,3420,28595220,MX,7490342751,entertainment,https://youtube.com/channel/UCYWOjHweP2V-8kGKmmAmQJQ,https://twitter.com/badabunoficial,163261
TaylorSwiftVEVO,https://socialblade.com/youtube/user/taylorswiftvevo,86,27945566,US,15859062495,music,https://youtube.com/channel/UCANLZYMidaCbLQFWXBC95Jg,https://twitter.com/taylorswift13,83125945
Ariana Grande`,https://socialblade.com/youtube/c/ariana-grande,110,28650590,US,495095967,music,https://youtube.com/channel/UC9CoOnJkIBMdeijd9qYoT_g,https://twitter.com/arianagrande,59266066
Cocomelon - Nursery Rhymes,https://socialblade.com/youtube/c/cocomelon,388,28292811,US,14889865299,education,https://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ,https://twitter.com/abckidtv,13
Zee Music Company,https://socialblade.com/youtube/user/zeemusiccompany,3628,27574919,IN,13305568138,music,https://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg,https://twitter.com/zeemusiccompany,777919
YouTube Spotlight,https://socialblade.com/youtube/c/spotlight,284,27077171,US,1465538124,news,https://youtube.com/channel/UCBR8-60-B28hp2BmDPdntcQ,https://twitter.com/youtube,71045859
KatyPerryVEVO,https://socialblade.com/youtube/user/katyperryvevo,125,26546922,US,16599134166,music,https://youtube.com/channel/UC-8Q-hLdECwQmaWNwXitYDw,https://twitter.com/katyperry,106897276
EminemVEVO,https://socialblade.com/youtube/c/em%c4%b0nemvevo,82,26540795,US,12107361504,music,https://youtube.com/channel/UC20vb-R_px4CguHzzBPhoyQ,https://twitter.com/eminem,22432869
RihannaVEVO,https://socialblade.com/youtube/user/rihannavevo,106,26448849,US,13389845318,music,https://youtube.com/channel/UC2xskkQVFEpLcGFnNSLQY0A,https://twitter.com/rihanna,88396615
VEGETTA777,https://socialblade.com/youtube/user/vegetta777,4880,24842757,ES,9723788929,games,https://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ,https://twitter.com/vegetta777,5654166
VanossGaming,https://socialblade.com/youtube/user/vanossgaming,902,23916609,CA,10192522145,games,https://youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g,https://twitter.com/#!/vanossgaming,
Trap Nation,https://socialblade.com/youtube/c/-trapnation,1528,23882643,US,8300758530,music,https://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg,https://twitter.com/alltrapnation,
Smosh,https://socialblade.com/youtube/c/smosh,1024,23765539,US,7869512644,comedy,https://youtube.com/channel/UCY30JRSgfhYXA6i6xX1erWg,https://twitter.com/smosh,3060517
OneDirectionVEVO,https://socialblade.com/youtube/c/@onedirectionvevo,171,23340123,GB,8441301958,music,https://youtube.com/channel/UCbW18JZRgko_mOGm5er8Yzg,https://twitter.com/onedirection,31021592
Bruno Mars,https://socialblade.com/youtube/c/brunomars,67,23242854,US,9986686905,music,https://youtube.com/channel/UCoUM-UJ7rirJYP8CQ0EIaHA,https://twitter.com/brunomars,42102740
Luis Fonsi,https://socialblade.com/youtube/user/luisfonsivivo,73,22974052,US,15598679,entertainment,https://youtube.com/channel/UCxoq-PAQeAdk_zyg8YS0JqA,https://twitter.com/luisfonsi,9291294
Yuya,https://socialblade.com/youtube/c/-yuya,581,22842924,MX,2329963951,howto,https://youtube.com/channel/UCBNs31xysxpAGMheg8OrngA,https://twitter.com/#!/yuyacst,
Marshmello,https://socialblade.com/youtube/c/marshmello-music,227,22911431,US,3989588638,music,https://youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,https://twitter.com/marshmellomusic,1334979
Markiplier,https://socialblade.com/youtube/c/markiplier,4267,22387141,US,10370151473,games,https://youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ,https://twitter.com/markiplier,11849938
Zee TV,https://socialblade.com/youtube/user/zeetv,57251,21799931,IN,14691849157,entertainment,https://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ,https://twitter.com/zeetv,1213201
nigahiga,https://socialblade.com/youtube/c/ryanhiga\,346,21297355,US,3928862237,entertainment,https://youtube.com/channel/UCSAUGyc_xA8uYzaIVG6MESQ,https://twitter.com/therealryanhiga,2041747
Get Movies,https://socialblade.com/youtube/c/ getmovies,2809,21238865,RU,18025406302,shows,https://youtube.com/channel/UClZkHt2kNIgyrTTPnSQV3SA,https://twitter.com/getmoviesru,92
Ozuna,https://socialblade.com/youtube/c/ozuna|,58,21208548,PR,10066416132,music,https://youtube.com/channel/UCjIA3wwhi0QjSOXAZwOXbPA,https://twitter.com/ozunapr,67156
ChuChu TV Nursery Rhymes &amp; Kids…,https://socialblade.com/youtube/c/chuchutv,268,21052517,IN,15991797534,education,https://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg,https://twitter.com/thechuchutv,22837
Luccas Neto,https://socialblade.com/youtube/c/ luccasneto,550,21109162,BR,4636874441,people,https://youtube.com/channel/UC_gV70G_Y51LTa3qhu8KiEA,https://twitter.com/luccasnetobr,
jacksepticeye,https://socialblade.com/youtube/c/jacksepticeye,3954,20829436,IE,10335546115,games,https://youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g,https://twitter.com/jack_septic_eye,4868850
rezendeevil,https://socialblade.com/youtube/user/rezendeevil,6845,20875135,BR,7220442885,games,https://youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg,https://twitter.com/rezende_evil,2797812
Movieclips,https://socialblade.com/youtube/c/movieclipsvideos,30861,20211024,US,18867859727,film,https://youtube.com/channel/UC3gNmTGu-TTbFPpfSs5kNkg,https://twitter.com/movieclips,43696
Ninja,https://socialblade.com/youtube/c/ninja,792,20084448,US,1551905654,games,https://youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ,https://twitter.com/ninja,3672894
Sony Music India,https://socialblade.com/youtube/c/sonymusicindia,2319,20110474,IN,8083873358,music,https://youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg,https://twitter.com/sonymusicindia,831832
Luisito Comunica,https://socialblade.com/youtube/user/luisitocomunicaa,567,19842090,MX,2288435244,comedy,https://youtube.com/channel/UCECJDeK0MNapZbpaOzxrUPA,https://twitter.com/luisitocomunica,4195742
shakiraVEVO,https://socialblade.com/youtube/user/shakiravevo,144,19575722,US,15128735659,music,https://youtube.com/channel/UCGnjeahCJW1AF34HBmQTJ-Q,https://twitter.com/shakira,50751577
WatchMojo.com,https://socialblade.com/youtube/c/mojo,72,84,,15632,tech,https://youtube.com/channel/UCQIzjrOGJh4zOSu1gaDgpYw,https://twitter.com/#!/searchmojo,
